start	end	text
0	7040	Alright guys so welcome to course update 4.0 this update is going to actually
7040	13760	make you a monster okay this update has all the advanced ICT concepts and if you
13760	18240	understand these concepts guys trust me you will become an independent trader
18240	23640	you will not need anyone else okay you will be able to identify daily bias
23640	28520	multi bias weekly bias you will be able to create your own model I will teach
28520	33480	you a couple of new strategies that are insanely profitable and insanely
33480	39600	powerful but let's talk about our first topic of the course update which is the
39600	44000	monthly weekly and daily bias now before we get into the monthly weekly daily
44000	48240	bias you want to know about external liquidity and internal liquidity so
48240	52880	over here as you can see I have marked out this high as external liquidity I've
52920	59800	also marked out this low as external liquidity so basically price and this
59800	64800	right here this fair value gap in the discount so this is the equilibrium of
64800	69280	this move so if you use your Fibonacci from this to this that is your
69280	73640	equilibrium right and below any fair value gap below that is an internal
73640	81440	liquidity so what market does is it market only moves in two ways okay it
81520	87720	either takes out external liquidity right and seeks for internal liquidity right
87720	92720	so market will take out external liquidity and it will the drawn
92720	99000	liquidity would be the fair value gap in the discount okay that is one thing
99000	103280	that market does and the second and the last thing that market is is it moves
103360	112560	from internal sorry guys it moves from internal to external right here so this
112560	120200	right here is an external liquidity here as well so basically we are moving from
120200	125840	external to internal and from internal to external I repeat again external
125840	132520	liquidity is any high or low and internal liquidity is any fair value gap in the
132560	137920	discount or premium that is what you need to know about
137920	144600	external and internal liquidity okay so now how do we find our let's talk about
144600	151880	monthly bias okay so for monthly bias we want to be using three time frames
151880	157360	okay and for like for weekly bias we will use two times as well and for daily we
157400	163400	would use three time frames as well and you will be learning a new strategy in
163400	169480	this video as well so keep watching okay so how do we determine the monthly
169480	175680	bias it's very simple you mark out the closest high or low and if you see that
175680	180040	prices take on an extended liquidity look below it where is the fair value gap
180040	185320	in the discount okay so you want to use your frame from bottom to top on the
185360	191120	monthly time frame first okay we go to the monthly first once price has taken
191120	196200	out extended liquidity now we need to have a confluence that price is not
196200	200000	going to reverse into internal liquidity okay we can't just simply short from
200000	206360	here because we have no confirmation so once you have a purge of external
206360	211280	liquidity on the monthly time frame you want to drop down to the daily time
211320	215600	frame and once you drop down to daily time frame you want to look for a market
215600	220680	structure shift once you have a market structure shift guys that is your
220680	228560	confirmation that we are gonna seek this internal liquidity okay now you have
228560	233600	your high time frame and now you have your daily time frame supporting that
233600	237880	narrative as well that we are gonna go down into the internal liquidity right
237920	243440	here which is the fair value gap in the discount so once you have the market
243440	250360	structure shift what you want to do is you can literally take your entry from
250360	256160	that autoblock okay that is your like simple model okay you can simply use
256160	259840	this as a strategy once you get a market structure shift take your entry from
259840	265960	here take portions along the way your main target would be here okay although
265960	271840	when we go into different chapters of this course update I'm gonna teach you
271840	277680	my specific strategies that I use with this by combining daily bias and all but
277680	281440	for now what we are learning is how to identify your monthly bias so once you
281440	286440	have a market structure shift on the daily time frame your monthly bias would
286440	293240	be bearish until this internal liquidity is hit now of course it's not gonna be
293240	298400	hit like hundred percent of the time but most of the time price will draw
298400	303080	into the fair value gap that is in the discount and that is unmitigated the
303080	310000	fair value gap has to be unmitigated okay that is very important so you have a
310000	316320	market structure shift right and that is pretty much your level so once you have
316320	319800	a market structure shift you can look for simply take your entry from the
319840	326720	revenue gap you can use ABC strategy you can use ABCD trading strategy you can
326720	331080	use whatever you want once you have a market structure shift your bias is to
331080	337600	the downside now your entries and executions must be on the one hour time
337600	343320	frame okay when you're using ABC or ABCD whatever it is I'm gonna talk about
343320	346920	those later but once you have a market structure shift you can take your entry
346920	349720	on the daily time frame as well because we got the market structure shift
349720	354360	surprise is gonna go down anyways right so you can take your entry from I don't
354360	359880	know this fairly gap over here or could be an auto block here just remember your
359880	366400	target is over here and similarly for weekly bias we use these time streams
366400	369920	for the higher time frame is gonna be one week so our high time frame is
369920	377040	weekly our intermediate time is like four hour and our lowest time frame is
377040	381040	gonna be 15 minutes so similarly what you're looking for is price to take out
381040	385160	some form of high or low once practice has taken out higher low on the weekly
385160	390920	time frame you are simply looking for a market structure shift on a four hour
390920	396360	time frame now the thing is price cannot keep going up right like that and then
396360	401560	give you a market shift you want to see like a an instant market structure shift
401560	406240	runs price takes out liquidity okay you can yeah so you have to train your eyes
406240	409640	I'm gonna show you the examples and then that would be clear on how you can you
409640	416360	know differentiate it so once you have like a market structure shift on the
416360	420160	four hour time frame you can simply take your entry from the four hour time frame
420160	425800	itself or you can use 15 minute time frames for other strategies but don't
425800	429640	worry about that I'm gonna teach you that stuff later on but what we need to
429640	434240	know is once you get the market structure shift your bias is now set okay
434240	438840	your bias for the weekly your weekly bias is gonna be bearish until the
438840	443160	internal liquidity is hit right here so let me show you an example how this
443160	447120	would look like so let's say price takes out external liquidity on the weekly
447120	452040	time frame you drop down to the four hour time frame you mark out any low once
452080	456280	price breaks that low you will get a market structure shift so you simply use
456280	462840	your fit from top to bottom and look for your entry above the 0.5 level okay so
462840	467280	there could be a fairly gap and that is a simple model okay that you can use a
467280	473840	strategy but there are better ones I'm gonna teach you so don't worry so right
473840	477600	here you can see we get a market structure shift right here over here we
477640	483400	take our entry we target this level this fairly gap below the 0.5 level and from
483400	489640	here onwards you can see we move from internal to external now moving from
489640	498320	internal to external is is I would say is not that high probable if that makes
498320	503320	sense for example if you're looking to go from internal to external that would
503360	507520	require you to have a very very strong bias like if the auto flow is
507520	515640	extremely bullish then you can look for this type of bias setup right so this
515640	522000	whole concept this right here even though I knew ABC right this is ABC
522000	526200	basically and into the fairly gap and ABC right here and then into the
526200	532320	fairly gap or this low here this this was simplified big shout out to the
532320	538560	market maker I don't know what's his name the market maker maker or
538560	543240	something like that on Twitter and this is a this concept is from him so I want
543240	546840	to give a shout out to him credit to him the market maker model I think maker I
546840	551720	don't know wait let me just check so I am giving the shout out to the correct
551720	559880	person it is basically the the market maker trader okay the MMXM trader big
559920	566600	shout out to him so if you want to learn this concept from the the person who
566600	571280	like simplified at this you can go and you know learn from here but I'm teaching
571280	576680	the exact same thing so basically that is pretty much it you need to know about
576680	580360	extended and liquid foil and for the daily bias of course we're gonna use
580360	584480	three time frames as well so let's say that this is the daily time frame price
584480	588920	takes out extended liquidity on the daily time frame right here right you
588920	591800	want to drop down to one hour again and then you want to look for a
591800	595800	market such a shift once you have a market such a shift on the hourly time
595800	601400	frame you can simply look for your entry on the one hour time frame okay that is
601400	606960	your like your simple bread and butter model you can simply use that model to
606960	612200	take trades okay but if you want to increase your win rate I mean I wouldn't
612200	616160	say win rate but if you want to increase your risk reward ratio you have to use
616440	620360	this this time five minutes and I will get to that later in the video in the
620360	624160	course okay so don't worry about it once you get the market shift as I said
624160	629880	before your bias is confirmed okay price will not breach this high once you get
629880	635520	the market structure shift so your target will be here okay but that doesn't
635520	639520	mean that you take your trade and you hold the whole trade until internal
639520	643840	liquidity is hit we don't know about markets what they're gonna do so just
643840	648360	just take your target at a specific level could be 1 to 2 1 to 3 right you
648360	651280	just need to know the direction of the market you don't want to target the
651280	656160	exact same location which is this okay price can simply just go come down here
656160	660360	and then reverse but we are setting up a revised like okay this is gonna be hit
660360	664720	so we're gonna trade until you know we are above so basically your entries
664720	670440	also entries also must be above the you know the 0.5 level here okay so
670440	676960	remember that so now that we have talked about all these things and
676960	683000	external and internal liquidity let me give you guys a couple of examples
