start	end	text
0	14720	Hello guys, my name is Fez and I want to thank you guys for trusting me and I want to thank
14720	18320	you guys for purchasing this course.
18320	26720	Now this is an introduction video and I want to tell you guys what I will be teaching you
26720	29520	in this course.
29520	37280	So first of all we are going to learn about market structure, what is a breakup structure,
37280	44360	what is a change of character, what is imbalance or farewell gap, whatever you want to call it,
44360	52640	what is an autoblock, what is a reactionary autoblock, what is supply, what is demand.
52640	58600	And after that we are going to learn our main trading strategies.
58600	68640	So I have around 8 trading strategies and I will teach each and every strategy that
68640	70640	I use.
70640	78120	Now first of all we are going to learn Asian session liquidity strategy, after that it's
78120	83680	going to be New York session liquidity strategy, then autoflow trading strategy.
83680	90400	And on number 4 we have the 830am trading strategy, after that we are going to learn
90400	96800	about under over pattern trading strategy and then ABC trading strategy and then we have
96800	104560	the ABCD trading strategy and at last we have the reactionary block trading strategy.
104560	112720	Now you are not going to find any of these strategies on YouTube or on any other courses.
112720	118000	This is my own system that I have created through backtesting.
118000	126360	I will not teach you the basic SMC strategies and I am sure they do not work as good as
126360	128360	these strategies.
128360	134880	So once again I want to thank you guys for purchasing this course and I can guarantee
134880	144680	in the next 3-4 months you are going to make a lot of money and trust me if you put your
144680	152120	effort and hard work in this course you are going to become a really really good trader.
152120	156560	So thank you once again and I will see you in the next video.
