start	end	text
0	4640	All right guys, so now we are going to learn the ABC trading strategy
4640	11640	It's it's kind of similar to the New York session trading strategy, but more advanced and more profitable
12240	15760	It's gonna have huge rich reward trades. So
17040	19960	It's quite simple you want to identify a
21840	23840	Aviv which is
24360	27640	This so let me put this out. This is an a with
28280	35560	This is a beehive which is a small trend in the opposite direction or a pullback, right and
36080	38080	Then a fake out
39440	42080	Now what you want to identify is
43280	45920	When the a leg is complete
46840	49920	Okay, when the a leg is complete
51920	53920	And the B leg is complete
54920	56920	The sea leg
58520	61880	Must create some sort of structure
62600	64800	Which is this right?
65920	71240	It went up lower low lower high and then it went lower low
71240	76440	All right, I want the price to create some sort of low or a high
77120	80600	Before the sea leg takes out the a
81200	86760	Okay, so we got the a we got the B and we got the C. So what are the rules?
89920	92000	Identify a leg
94720	96560	Okay
96560	98560	wait
99160	104400	For be like to form which is a
105400	109120	Significant pull back
110800	115640	Or small trend in opposite direction
118160	121360	Let me put this like this, okay
124560	128520	Once we have the beehive then wait for
128520	137000	The sea leg to take out the low of the a leg
137760	145520	the low slash high if you're looking for a cell position, all right of the a leg
146840	152840	Then wait for the sea leg to take out the low or high of the a leg depending on what
153560	155560	position you're trying to want to trade in
156560	158720	the
158720	164200	Sea leg must create some structure
166600	169760	Before taking out the a
172240	175240	legs low high
178360	183440	Then wait for price to reclaim
184440	186440	the a level
187840	192880	Okay, wait for price to reclaim the a level and break that
194160	199160	Structure created in the sea leg
201240	205800	Then identify an order block
206640	208560	slash
208560	214560	Fair value gap and take your entry from there
215800	217800	target the
217880	219880	high
220880	223560	Slash low of the beehive
225000	231120	So this is a bit this looks like a bit complicated, but it's very easy guys, okay when I'm gonna explain it to you
231760	233000	so
233040	241720	What you want to do is identify a leg, which is a main trend so this big push to the downside is the
244200	246200	A leg right
247600	249200	Now
249200	255800	We have a small term trend in the opposite direction, okay, so this is the beehive
256520	258520	okay
259520	266600	And then this line right here, so let me disable this just to make it a bit clear, okay, so this is the
267960	272320	High of the beehive leg right me put this like this
272720	278160	High of the beehive which is going to be our potential take profit area, okay?
279120	281120	We got the a leg
281960	283960	Sorry guys, I
284960	287800	Made a mistake, so this is the a leg
288960	293200	This is the beehive, okay, so we got the a we got the beehive here
293200	297720	This is the high of the beehive and then we got the sea all right, so we got the sea
299440	301000	leg
301000	305520	Okay, so this is like the sea leg, okay, so within that sea leg
306280	308840	All right, we want to create some sort of structure
309280	311280	So as you can see this sea leg
312160	316760	Create this structure right before taking out the low of the beehive
317480	319320	right
319320	322480	Once that happens you want to identify a
323480	325480	market structure shift
325480	330640	Not below the beehive but you want to wait for price to break this level because it is
331960	338240	Above the beehive if the market structure happens structure shift happens here, then it doesn't count
339240	341240	All right, very simple
341920	348520	When that happens as you can see this was a structure within the beehive and the sea leg and
349440	353400	The price did not take out our take profit area
354080	357680	So this trade is now this setup is now valid
359040	363280	Okay, so we have market structure shift right here. Let me make it a bigger
363960	367800	Let's make it 24. Okay, so now what do we have?
368560	374480	Here we got the imbalance and the autoblock. So we are going to enter right off this level
374720	379440	We put our stop loss right below this level and we target the high
381080	385480	Of the beehive this would have been a three ratio what trade?
385880	392360	This is one of my favorite strategies actually my favorite strategy out of all that I'm teaching
393200	395440	But really depends on you. So
396080	399360	Let let me move everything here and let's
400360	405920	Re-vice what I've taught here. So we got the a leg. This is the a leg
406800	414600	The main trend trend leg. Okay, so we are in a downtrend. We see a push down and then we see a pullback very simple, right?
415680	417680	This pullback
418520	422080	This move is called V-leg. Okay, so it went
422800	429840	Boom, it's a beehive and we want to identify the high of that beehive which is this, right?
430280	439720	The high of the beehive must not exceed and I repeat must not exceed the a leg. Okay, it just must not break the
441280	449480	A leg level, which is this. Okay, so this is where the big push started if the beehive crosses this level then the trade setups becomes becomes invalid
450000	452000	so
452000	457680	We got the beehive and now we want to identify the low of the beehive which is this
459120	462120	Perfect. Now we wait for price to break
462840	466120	break through that beehive. Okay, and
468360	472900	The move that breaks the beehive is called
473720	476760	C-leg so A, B, C actually
477280	481720	Now when the price is about to break the beehive level
482400	486160	It must and I mean must create some structure
486960	493280	All right, so we got as you can see lower lower lower high lower lower high and then we broke
493440	499840	Okay, now below the beehive we also created some structure and I also break this level
499840	504920	But this doesn't count. Okay, we are only going to look for structure which is inside
505520	509400	The beehive and the C-leg. Okay, the lines that I've drawn
509560	515240	The the low of the beehive and the high of the C-leg there must be some structure before price takes out the beehive
515600	521160	Then we identify a market structure shift that happens then we identify an auto block
521800	526560	Which is right here and we take our entry. So this is
527400	534320	Three risk reward trade very easy guys. So now in the next video, I'll give you some examples. See you guys
