start	end	text
0	6920	Alright guys, so before you guys move on to the course videos, I want to give you guys
6920	10120	some tips on how to start, okay?
10120	17040	So I want you to watch each and every single video in this course first.
17040	22760	Once you do that, I then want you to watch all the videos on my YouTube channel, because
22760	29400	on my YouTube channel, I show different variations of each strategy, not each strategy, but one
29400	33640	of my favorite strategies, okay?
33640	38560	So what I want you to do is to watch all of the videos, don't skip any video, because
38560	45000	I share a lot of details and you might miss if you skip any one of the videos, okay?
45000	53280	So watch all the course videos and after that, watch all the videos on my YouTube channel,
53280	54280	okay?
54280	55800	You have to watch all of them.
55800	60960	So that, and then you're going to understand each and everything correctly, okay?
60960	68520	And to join the Discord server, after you finish the course, there is a link at the
68520	72560	very bottom of the endgame section of the course.
72560	77160	I recommend that you watch all the videos and then join the Discord server, okay?
77160	81720	So anyways, I hope you guys enjoy this course and I'll see you guys in the next one.
