start	end	text
0	7760	Alright guys, so here is an example number one of the market maker by model so remember
7760	15060	we go from external to internal right and every single low or high right or external
15060	21440	liquidity is a POI as well just like autoblock and frame body gaps.
21440	26400	If the high or low is taken out that is your POI as well or PD area as well.
26400	32740	So remember from external we go to internal right so there is this fairly gap in that
32740	36080	discount so that would have been our target.
36080	41760	Now let's go to the one hour time frame and study what happened.
41760	50040	This line here is the purge on the external and once price took out the liquidity we started
50040	62340	identifying the consolidation phases right so going to the daily time from once again.
62340	69140	So let's go just here right this is our drawn liquidity this fairly gap going to the one
69140	79340	hour time frame remember we go from what you say from external to internal right so now
79340	84580	that is our drawn liquidity that's right here but once price came into our POI we want
84580	90300	to start identifying the consolidation phases so we have one consolidation phase here right
90300	94500	then we have the second consolidation phase right here.
94500	99580	It's really that simple you just have to identify the consolidation phase right and that's pretty
99580	100580	much it.
100580	104660	So now what you do is you simply look for a shift in the market structure that happens
104660	109820	right there there's your auto block so let me mark this out like that.
109820	115740	Price taps into the auto block here you know and as you can see we have consolidation here
115740	121860	consolidation here so my target would be this a drawn liquidity which is also the fairly
121860	125320	gap and also a high in this consolidation phase.
125320	130380	So if I play this through you're going to see that we eventually hit the take profit
130380	137900	level and if I play this through once more you can see that after taking out the fairly
137900	148900	gap we also take out this consolidation phase high giving us a almost one to five.
148900	155340	So it's really that simple okay so if you if you've spot like consolidations right you
155340	161300	just mark out one consolidation to consolidation right the third one maybe we had a third one
161300	167780	here as well yes this is some form of consolidation actually and then we have a manipulation and
167780	170460	the distribution to the upside boom and boom.
170460	177100	So remember one price is coming into your POI right tick took out the sell side and then
177100	182260	you had your consolidation phases and then you had your entry.
182260	184260	So we move on to the next example.
