start	end	text
0	7580	Right, so in this video, I'm going to give you a couple of tips about ABC strategy or
7580	14260	I could say, you know, the things that you should avoid in ABC strategy.
14260	19060	So the very first thing that I have seen people do is making this big mistake, right?
19060	24700	So let's assume that you have an A leg, you have the B leg, and then you have the C leg.
24700	28700	So a lot of people consider this as a C leg.
28700	32460	For me, this is not a C leg because look at this, right?
32460	34680	Price has went way far above.
34680	38380	So this for me is a breakout, right?
38380	40280	It has to go to a certain degree.
40280	43840	It should not just keep on going up and then you expect the price to come back below and
43840	44840	break this.
44840	47120	This makes no sense, right?
47120	54320	You usually want to look for price to go fake out above the high, right, which is here.
54320	59160	And it should not go like this with volume, it should just not keep on going up.
59160	63240	No, you have to train your eyes to see valid ABCs.
63240	68880	So this could be a valid ABC at this distance, right?
68880	73480	You know, let's see, let me see.
73480	79640	So around 30 pips on GPPUSD is a valid fake out, right?
79640	83980	Or even 35, okay?
83980	88520	But more than that, it becomes risky, okay?
88520	93440	So make sure you avoid that because I have seen a lot of people making this mistake in
93440	94800	the Discord server.
94800	97820	They just keep on looking for that same level.
97820	102160	When price goes up like that, you want to wait for price to give you another ABC.
102160	106600	Look for another ABC rather than waiting for this level to be, you know, hit because
106600	113480	let's assume that price comes back and breaks some structure, right, around here.
113480	116240	So you have your entry here now.
116240	126040	Now if we look at the auto flow trading strategy, what reason the price has to just not, you
126040	132200	know, mitigate an auto block over here and just create another higher high, right?
132200	133840	So this makes sense.
133840	138720	It can just, you know, come into this OB and it just peers through your level because
138720	141720	this is not, this right here is not a fake out.
141720	144160	It's simply a breakout, right?
144160	148560	So yeah, you want to keep that thing in mind.
148560	152520	Secondly, if you want to improve your ABC setups, there's this thing called.
152520	156240	So actually, ABC is range trading.
156240	161960	And what I mean by range trading is that it's not, it's not that you have to only trade
161960	169040	ABCs in the ranging market, but the whole setup, this ABC setup, right, is a range, right?
169040	172800	So you have a range high and then you have a range low.
172800	177840	So price has to take a bar side to take out the sell side and vice versa.
177840	183920	So to actually increase the wind rate of this, what you can look for is when you have
183920	187160	an A leg and then you have the B leg, right?
187160	194400	You want to see some rejections around the A leg high, you know, to build, it's going
194400	196640	to build up some liquidity, right?
196640	201000	And then you look for a C leg and then you wait for change of collector market to shift
201000	204640	and you take your entry and target this level, oops, my bad.
204640	212920	Oh my God, dude, um, I messed up, so let me draw this out again.
212920	217480	You have, you know, the B leg and then you have some liquidity build up around the A level
217480	223560	high and then you have the C leg, you take your entry, boom, boom.
223560	227000	So what happened here is that when you have an A leg here, right?
227000	230600	This is the high of the A leg and we have this B leg.
230600	238520	So before price creates a C leg, you know, price this consolidates near this A leg high.
238520	240120	So it can give a small push.
240120	242320	It could be a small push like this, right?
242320	243800	It doesn't have to be big.
243800	249200	Could be just be some sort of consolidation happening around here because usually when
249200	255520	you only trading like ABCs like this, you know, this, this, this, you know, shows me
255520	260360	there's volume to the upside because price is just going to pierce through above this
260360	264280	level and not come back and take out this level.
264280	270760	So you have, there is a less chance, there's, um, you know, um, there's a 40% chance that
270760	274840	it's going to play out, uh, but there's a 60% chance that it won't play out.
274840	275840	Why?
275840	281840	Because, you know, you have no consolidation after the B leg formation near the A leg high.
281840	288800	So a prime setup for me would be, you know, I want to see some sort of consolidation around
288800	294560	this level before price takes out the A level high, you know, and it can just take
294560	299960	out the A leg, A leg high, come back, do a market structure shift, take your entry and
299960	301720	boom.
301720	311200	So I hope this, uh, video, uh, gives you some sort of information and make sure you, um,
311200	318120	practice this, uh, you know, and just, just get used to this, uh, uh, pattern, right?
318120	322960	Uh, I want to see some sort of consolidation around the A leg high, or if you are looking
322960	329920	for a long position, you want to see some sort of consolidation around, you know, this
329920	335760	level, which would be this and boom, this would be it.
335760	337640	So let's move on to the next video.
