start	end	text
0	5680	Alright guys, so here's another example for the abc-to-fitting strategy, so we got the
6880	9920	A leg right around here, right?
12320	21600	So we want to mark out the very low of the A leg, right?
21600	35440	Something like that, and then we got the B leg, which is the significant pullback or a
36000	40320	small down trend, sorry small trend in an opposite direction, which is this,
41600	45760	so this is the B leg, and then we got the C leg right around here,
46080	64800	which is this, okay, and we got the low of the B leg, sorry, how about we got the high of the
64800	75440	B leg right here, right? B leg high, which is our take profit area, and we got the A leg low here,
75520	83360	so let me delete that, we'll wait for price to fake out, before price
85440	96720	faked out, it created structure, so you can see lower low, lower high, lower low, lower high,
96720	103920	and then price broke down, price faked out, and before freaking out, before crossing this line,
103920	113280	price created some structure, and there we have market structure shift, and we got imbalance
115520	119520	just here, so if I remove the line, you can see we got the imbalance between this level,
119600	132960	so this whole candle is our autoblock, right, and we target
138640	149120	the B leg high, which is this, so that was 4.74, easy guys, you see the accuracy,
149120	159200	it took out the B leg high, and then it reversed, all right, so let me repeat this again, so let's
159200	166800	see what happened, we got the A leg, okay, we got the A leg, and then we got the B leg, right, and
166800	175200	then we got the C leg, the C leg created structure before taking out the low of the A leg, which is
176080	184000	this, and then we get, so once that low was taken out, before taking out the low price
184000	188000	created some structure, okay, it created structure here, it created structure here,
189040	194000	and these structures were taken out, so this is market structure shift, and when price took out
194000	199840	the level, it created some imbalance and autoblock, so this was our entry right around here,
200480	209680	and a beautiful trade guys, very, very simple guys, so I hope by now it's gonna be clear,
210400	216240	I tried my best to explain the strategy, literally my throat is hurting right now,
216240	223040	I don't know why, so I will repeat it once again, in the ABC structure, in the ABC
223360	231120	strategy, we want to identify the A leg, the B leg, and the C leg, the C leg must take out
231840	239040	this level, okay, which is the start of the B leg, and before, before taking out the
239040	245200	start of the B leg, it must create some structure, all right, and that structure gets broken here,
246160	251360	we got the ABC, and then we got this beautiful entry here,
252960	259520	wait for price to come back into the autoblock and very well you gap, and as you can see, it just
259520	264720	went crazily down, then you can see that we can continue this, okay, so we got the,
265680	270480	let's, let me show you one amazing thing about the strategy, so we got the, now this whole thing
270560	277760	is an A leg, this whole thing is a B leg, and this thing is a C leg, okay, so it just can't
277760	288960	continue forever, so let me go ahead and draw out this level, okay, so before price took out
288960	296640	this level, price created some structure here, and it left some imbalance, now unfortunately,
297520	305040	it did not hit our autoblock, which were right here, but it did fill in the imbalance around here,
305040	310080	and as you can see, if you would have taken the entry from this level, put your stop right
310080	321040	below this level, okay, you could have made another 4.21% return on the straight guys, absolutely
321120	329040	brilliant trading strategy, so yeah guys, I hope that things are clear enough now,
329760	337200	this works on any time frame, okay, if you want to sculpt, you can work on the 5 minute time frame,
339760	345760	also it works really really good with the one hour time frame, so what are the best pairs for
345760	354160	this strategy? Well honestly, every pair, according to my back testing data,
355760	365200	anything works with it, crypto forensics, stocks, indices, everything, so yeah guys, this was my
365200	371040	favorite trading strategy, and this is what I'm currently using nowadays, and it is highly profitable,
371040	379920	you can see these big moves, right, and yeah, so I'll see you guys in the next trading strategy,
379920	387840	goodbye.
