start	end	text
0	4960	All right, guys, so in this video, we're going to talk about balanced price range.
5960	10000	Basically, it is another entry pattern that we use with Fair Value Gap.
10640	14280	And what it does is it makes the Fair Value Gap even stronger.
14320	17160	So let's assume that you have a Fair Value Gap here.
17680	24040	And if we have BPR here as well, there are much more chances that that Fair Value Gap is
24040	27080	going to hold the trade and it's going to go into your direction.
27600	34560	Now, it's not necessary to always look for BPR, but, you know, it could be a nice
34560	38120	confluence and it is also a nice entry pattern that you can use.
38720	40240	So what is a BPR?
40600	46160	So let's assume that you have a push, a move to the down, right?
46640	47240	Boom.
48240	50440	So let's assume there was some liquidity sweep right here.
50920	53720	And after that, you have a market structure shift right here.
54720	58280	Now, you look at the extreme Fair Value Gap, which is right here, right?
58880	60800	And look at the left.
61600	65600	So there is Fair Value Gap here as well, right?
65960	70160	So you are looking at this Fair Value Gap, but if you look at to the left, the move
70160	74000	that took out liquidity, now it necessarily don't have to be the move that takes out
74000	74560	liquidity.
74560	76400	I'm just, I'm just showing it as an example.
76800	80640	But when you have a move and then you have a market structure shift, look at the last
80920	84360	move before market structure shift and look at here.
85080	92560	If there is Fair Value Gap here and there is Fair Value Gap in the new move that
92640	96960	broke the market structure and the old Fair Value Gap and the new Fair Value
96960	99360	Gap is overlapping with each other.
99920	105760	If that is happening, then that area becomes BPR.
106320	106680	Okay.
106920	109440	And when price comes back into this area, it's going to push up.
110440	111640	So let me explain this again.
113880	115560	Do you see this move right here?
115560	117840	Let me remove this to clear confusion, right?
118640	119560	You have a move up.
120000	126280	So let's assume you have lower low, lower high, sorry, lower low, lower high, lower low.
126840	129880	And this lower low gets broken with market structure shift.
130560	132320	And this is extreme Fair Value Gap.
132320	135640	Now, normally you would enter from this extreme Fair Value Gap right here.
136200	140200	But look to the left of this extreme Fair Value Gap.
140840	141680	That's right here.
143080	152920	If there is Fair Value Gap here as well, you know, and price does not respect the old
152920	157840	Fair Value Gap and it pushes through this level, breaking market structure or shifting
157840	163840	the market structure and also leaving the Fair Value Gap that overlaps with the
163880	169680	previous Fair Value Gap, then that level becomes balanced price range.
170560	172760	I hope I explained it well.
173360	175840	And what I'm going to show you examples is going to be clear.
176720	179280	So let me show you example number one.
181280	187560	So you see you have lower low, lower high, lower low, and then you have a market structure shift.
187560	194520	Look at here.
195440	197640	Do you see this Fair Value Gap right here?
198480	199720	From here to here.
201040	205200	What happened is price did not respect this old Fair Value Gap.
205640	210200	And what happened is price went back up and did market structure shift.
210360	210760	Okay.
211360	215600	Now, look at this, this Fair Value Gap is way too big.
215640	216040	Okay.
217040	218000	It's just way too big.
218000	222720	So if you take your entry from the here, your stop loss is going to be huge.
223000	233640	But if you look at here, you have BPR and the new Fair Value Gap is overlapping with the old Fair Value Gap.
235160	242560	So in this case, what you can do is you can take your entry from the BPR or old Fair Value Gap.
243480	243880	Okay.
244560	248840	So essentially, what is happening here is that the old Fair Value Gap,
249560	257600	instead of acting as a resistance level, when it is broken, it is not reacting as a support level,
257680	259080	the old Fair Value Gap.
259360	265080	And also, if there is new Fair Value Gap that is overlapping with the old Fair Value Gap,
265600	267600	then that level becomes BPR.
267840	275800	And trust me, that move is going to be big if your whole model was perfect.
277640	281800	So you can see Fair Value BPR right here, it overlaps.
282200	288280	And what I mean by overlap is it must have some part of Fair Value Gap between this box.
288280	292440	So you see this box that I've drawn, you draw the box from the BPR, right?
292440	294400	The old Fair Value Gap, you drag it along.
294760	301040	And if any part of the Fair Value Gap, even a tiny bit is in that level, in this box,
301680	303240	then you can take your entry from BPR.
303720	305360	Let me show you another example.
309280	310200	Right here.
317000	317400	Okay.
317960	320280	So you can see right here.
321280	324880	So you have a market structure shift, right?
324880	325320	Big.
325920	330200	And before market structure shift, we had this BPR right here.
330200	334200	You see this old Fair Value Gap, boom, boom, boom, boom, right?
334960	337320	And price did not respect this level.
338240	341840	It just went down data market structure shift.
342240	345640	Now the old Fair Value Gap, right?
346440	348000	And this new Fair Value Gap.
349000	353000	So this is the new Fair Value Gap, whoa, whoa, right?
353000	356000	And this right here, womb and womb.
356000	359000	So you drag the box along.
359000	362000	It is overlapping with the old Fair Value Gap.
362000	364000	This is the old Fair Value Gap, boom, boom.
364000	366000	This is the new Fair Value Gap, boom, boom.
366000	370000	You draw the box from the old Fair Value Gap, boom, boom.
370000	371000	Drag it along.
371000	377000	If the new Fair Value Gap is overlapping, it has some sort of part in the old Fair Value Gap box that I've drawn.
377000	379000	Then you can take your entry from that box.
379000	382000	So you can see you have your Fair Value Gap right here.
382000	387000	If you took your entry from this Fair Value Gap, price went down,
387000	389000	and you move your store blocks to break even.
389000	393000	But what happened is then price came back, filled the BPR level,
393000	396000	and then pushed down to its original destination.
397000	400000	So I hope this video was clear, guys.
400000	403000	If you did not understand this, make sure you watch it again.
403000	405000	And again, I tried my best to explain this.
405000	408000	I hope you guys understood it well.
408000	410000	Let's move on to the next video.
