start	end	text
0	8200	Alright guys, so in this video we are going to talk about breaker blocks. It is another entry pattern that you can use
10560	14520	It is very powerful. So what essentially is breaker block?
16200	18540	When you have a lower low
19720	23320	lower high lower low and a market structure shift
24960	26960	So when you had lower low
27680	29320	lower high
29320	31880	lower low, the last lower low
35640	40400	And the last candle of that lower low right here
43920	48800	Is your breaker block. So you have lower low lower high lower low and
50160	57040	Market structure shift if you have another small lower low here like lower low lower high small lower high lower low
57120	61320	And then market structure shift then that would be your breaker block. So
63000	65360	The first candle right here
68000	72360	First candle before this move or you could say the last candle
73240	76240	before this last lower low is
77560	81600	Your breaker block and if there is some
81840	85880	Fairbody gap here, then that breaker block becomes very strong
86320	92520	However, if there is no fairbody gap, you can still take entry from this level, okay?
93320	98360	But if there's fairbody gap then that becomes even better price comes back here and boom
99560	105040	Similarly, you have higher high high low higher high market structure shift
105960	107960	this
108080	110080	last candle
110880	115800	Before the move to the upside and then market structure shift. So you have higher high high low
116680	121720	The last candle of the higher low is your breaker block, okay?
122360	125840	Price comes back here if there is fairbody gap right here
125840	131480	You can literally take your entry from here instead of looking for entry from the extreme fairbody gap
131680	135720	What you can do as an entry model you can look for entry here
135760	140320	so a lot of people asking me we miss sometimes we miss the trade and
141080	143080	this is how you can
143680	146840	minimize the risk of missing the trade
147360	152040	Yes, your stop loss going to be big or you can just put your stop above the breaker block
152040	156880	But trust me you're gonna lose so just put it above the fair extreme fairbody gap
157840	161000	So this right here is your breaker block
161600	164760	Let me show you an example if I can find it
165720	174080	Um, I drew it somewhere here. Where is it? Where is it? Where is it?
177920	184320	Mm-hmm. Okay, I think I I deleted it. So I'm gonna pause the video find it and then come back
