start	end	text
0	6960	All right, guys, so in this lecture, I'm going to talk about the market maker model second
6960	14720	distribution entry model, okay, this model has to be has to have the like the best wind
14720	15720	rate possible.
15720	20880	This is like a plus entry set up a plus model that you can use and become an independent
20880	22040	trader.
22040	26120	After watching this model and understanding this model entry model, you will not need
26120	29320	anything else, okay, I guarantee you.
29320	32580	So you have to watch this video very carefully.
32580	36640	Now as we know, the market maker model is that we have first consolidation, then we
36640	41080	have the second and the third, the second, the third consolidation is not necessary,
41080	42080	okay.
42080	48760	So now these two consolidations are also called accumulation zones, okay.
48760	52600	So we have accumulation here and we have accumulation here, we have consolidation here.
52600	59040	So now let's suppose that this key level is a daily external liquidity, right?
59040	63880	Once price takes out the external liquidity, right, we let's say this is the fairly gap,
63880	68200	this low here of the consolidation is our fairly gap or drawn liquidity internal liquidity,
68200	69600	right.
69600	75240	Once we get a market structure shift, right, once we have this shift in the market structure,
75240	79960	normally we would take our entry from this fairly gap or an auto block here and target
79960	80960	this level.
80960	84640	But in this second distribution model, listen what we have to do.
84640	93080	So we must have a higher high, high low, higher high, right, into the key level price
93080	100840	takes out liquidity, then we have a market structure shift, lower, lower low, lower high
100840	106960	after market structure shift, then we have lower low, lower high, lower low, right.
106960	111480	So once we have like a lower low, lower high, lower low, and we also have a market structure
111480	112480	shift.
112480	116640	So market structure shift, pullback, another low, low.
116640	121240	Once we have this, now we are waiting for a continuation purge.
121240	122320	Now what is that?
122320	127400	We have to wait for price to take out some form of lower high, okay.
127400	131680	So let's say there's a lower high here, what's going to happen?
131680	137560	Price takes out this lower high, and then you wait for a shift in market structure or
137560	140700	a break of structure, right, like that.
140700	145740	Once you have another break of structure, you wait for another pullback, you wait for
145740	150420	another break of structure, right, a fractal break of structure.
150420	153840	And then if there's a family gap here, perfect.
153840	156460	If there's no family gap here, you look at this leg here.
156460	163060	If there's a family gap, that is going to be your second distribution entry model.
163060	167620	And that is going to just push the price aggressively towards your take profit level.
167620	173420	Once you get this type of setup, trust me guys, there's like, I guarantee you, you're
173420	177580	going to win that trade, most of the time, okay.
177580	180140	So let's talk about this again, right?
180140	183180	So it's going to take some time maybe for you to understand.
183180	191740	We have a higher high, a higher high, we have the external liquidity taken out, right?
191740	194820	Once that is taken out, okay.
194820	196900	So here's the thing.
196900	199780	You don't have to look for these highs on the daily timeframe.
199780	203700	Once you have the key level taken out on the daily, you then drop to one hour and then
203700	205820	identify this setup.
205820	211220	So price takes out the external liquidity, we then wait for a market structure shift,
211220	212780	right?
212780	217540	And then we wait for the pullback, that's create lower low, lower high, lower low.
217540	219940	We then have another break of structure.
219940	226060	Once we have the break of structure, we wait for any lower high, any lower high to be purged.
226060	230780	Once you have a purge on that, you wait, you wait again for that double break of structure
230780	231780	pattern.
231780	235980	So you're going to have lower low, breaks the structure, somewhere here, somewhere here,
235980	237660	or this whole level.
237660	242580	And then you have a pullback and then the structure breaks again.
242580	248860	Once you have that, look for a fairly gap or an auto blog, you put your entry here and
248860	256220	guys, the next thing you know, your trade is boom, right into this level.
256220	259300	I need you to watch this again and again.
259300	266180	I will show you the examples as well, but I need you to watch it again and again.
266180	270780	This is like the best I see concepts that I'm teaching you right now.
270780	275780	And if you can understand this, oh my God, bro, I don't even know.
275780	278220	You will become like an independent trader.
278220	279220	That's pretty much it.
279220	281020	You don't need anything else.
281020	282020	Okay.
282020	286860	So I'm going to show you some examples and then I'll end the video, like the whole lecture.
