start	end	text
0	4900	Okay, so as you can see that the candle closed at 9.30.
4900	8760	So now you will be looking for some sort of liquidity, okay?
8760	12080	So actually, you should be looking for liquidity
12080	13680	before 9.30, right?
13680	16680	And if it sweeps the liquidity and comes back,
16680	20840	and the market structure shift happens,
20840	24960	your entry must be after 9.30 AM, okay?
24960	28480	It can, for example, let me show you.
30600	32240	If there's liquidity, right?
32240	36720	And price sweeps off the liquidity at, let's say, 9.20 AM.
36720	41720	And then we have a market structure shift at 9.25, right?
42880	47880	And you have your entry, where is it?
48080	50640	Okay, you have your entry at here, right?
50640	55400	If the price goes into your entry zone before 9.30,
55400	57680	you will not be taking that trade, okay?
57680	59160	You just gotta follow these rules, okay?
59160	60160	I know what I'm saying.
60160	62640	You should avoid that trade at all costs.
62640	65440	But if the time is 9.30, right?
65440	68760	Past 9.30 AM, and it goes to your POI,
68760	71160	then you take that trade, boom.
71160	75520	So for this example, we have our candle closed at 9.30.
75520	77260	So where's the liquidity, guys?
78560	81480	I can see this huge swing high, right?
81480	84880	This is a clear, significant swing high that I can see.
84880	87560	So, and one more thing, guys,
87600	89600	you wanna look for the market structure,
89600	91160	okay, the overall direction of the market,
91160	93440	and you wanna take the trade in that direction.
93440	96640	So, as you can see, price is bearish at the moment.
96640	99400	And if I go zoom out a little bit more,
99400	101360	you can see that we are bearish.
101360	103000	And considering the, you know,
103000	104480	the situation of the world right now,
104480	106160	there's so much wars going on,
106160	108840	I would recommend that you only take shots for now,
108840	110680	because the trend, so you gotta just follow
110680	111600	the market structure, right?
111600	114160	If the market structure is bearish,
114160	116920	you only have to take a short position,
116920	119120	you only wanna be looking for a liquidity sweep
119120	120920	to the upside, okay?
120920	122480	And then you wait for Microsoft Shift
122480	123360	and you take your entry.
123360	125160	So as you can see at the 9.30 a.m.,
125160	127560	we have this candle, and if I play this through,
129520	132760	okay, so once the price is near my zone,
132760	134480	the liquidity zone, I will drop down
134480	135520	to the one minute timeframe,
135520	137360	and I will wait for a liquidity sweep.
140160	141880	So as you can see, price swept the liquidity.
141880	144280	Now I wanna wait for a market structure shift.
145280	147320	So let's see what happens.
148480	150840	And there you go, we have a market structure shift.
150840	154640	One more thing to note, guys, is when market structure shift
154640	157160	happens, it should happen with displacement,
157160	159720	and what I mean with displacement is,
159720	161920	let's say you have this, right?
161920	164480	And if price breaks the structure like this,
164480	167380	so let me show you, yep.
167380	170880	If, oh my God, this is a terrible trying,
170880	172360	but I hope you get the idea.
172360	174280	So if the price breaks the structure with,
174280	177480	you know, a very clumsy market structure,
177480	182080	there is no momentum in that move that breaks the structure,
182080	184200	then you will not be taking the trade
184200	186200	because when price came down,
186200	188200	it generated this liquidity, right?
188200	190920	And I would recommend that you don't take this trade
190920	192440	because there was no momentum,
192440	195920	there was no volume when the structure broke.
195920	199040	But if price breaks the structure, for example,
199880	202880	let me show you, if we have this structure, right?
202880	205120	And price breaks the structure with momentum,
205120	206840	like, for example, this.
207920	209960	If you see this, you gotta take your entry.
211240	213440	So as you can see, we have this huge candle,
213440	215600	and then we have some sort of wicks here
215600	218840	above, below the fair value gap and the water block.
218840	221240	And as you can see, we should broke the market structure.
222520	225280	Now, as you can see, there's some fair value gap around here.
225280	227720	So I would take my entry from the fair value gap.
229400	231080	You can take your entry from the auto block,
231080	232640	but sometimes you're gonna miss the trade.
232640	234560	So I would recommend that you only take your entries
234560	236000	from the fair value gap.
236000	238080	And you can see it was filled around here, right?
238080	241320	So we can take our entry from the remaining part,
241320	243800	or we can just take the entry from the original part.
243800	245840	So it's just gonna be fine.
245840	248760	And we put our stop loss right above the body of the candle,
248760	252320	or we can either put it to the high of the candle.
252320	254200	And for the take profit level,
254200	258440	we could go for this level right around here
258440	260920	because this is a significant liquidity level.
260920	263360	As you can see, this is a significant low, right?
263360	267880	And between this move, there are some fair value gaps.
267880	270400	So you can see we have this fair value gap,
270400	273880	and we have this fair value gap.
273880	276520	So you must be taking some partial profit,
276520	278880	so when the trade is in the play,
278880	280640	you should not be holding your trade.
280640	283160	And once some sort of structure is broken,
283160	284680	for example, the structure gets broken,
284680	286160	you're gonna go break even.
286160	287240	So this is very simple.
287240	289840	Once this structure breaks, you will go break even.
289840	292320	So let's see how this trade plays out.
292320	293400	So if I play this through,
293400	295400	we got our entry right here.
295400	296700	And if I play this through,
299440	302080	you can see that the price is going down,
302080	305080	and we hit our take profit level.
305080	309000	So that was an 8.42 risk to the World Trade.
309000	311400	Very, very excellent example.
311400	313280	I'm gonna give you guys a few more examples.
313280	314920	So, yeah.
314920	317060	Okay.
