start	end	text
0	2960	All right guys, so here is example number two
2960	4760	for breaker block entries.
4760	7520	So you can see we have higher high, higher low
7520	9240	and higher high.
9240	10640	And then we have a
13360	15920	a market structure shift right here.
15920	20440	So normally what you would do is you would take your entry
20440	23960	from this favorite gap or this favorite gap.
23960	27000	But if you are using the breaker block entry model,
28000	29960	your breaker block is right here,
29960	32800	which is the last candle before the move to the upside.
32800	36840	And after that you have a shift in market structure.
36840	39360	So you see this move, right?
39360	43640	There was no bearish candle around here, okay?
43640	44800	If there was a bearish,
44800	49040	let's assume that this candle was bearish, right?
49040	50360	And then you had a,
50360	53880	so I would consider then this as market structure shift.
53960	57240	And then I would consider that candle as my breaker
57240	61520	because apparently that was the last bearish candle
62720	66560	or last candle or you could say high, high, high low,
66560	69600	last high low and then we had higher high
69600	71000	and then market shift.
71000	74360	So I hope you get what I'm trying to explain.
74360	78480	So, but in this case, this was the last candle, right?
78480	82240	Or sometimes what I would do is it's sometimes
82240	86120	a good practice to mark out the bearish candle
86120	89640	instead of the bullish candle and vice versa.
89640	92400	So if you are looking for a long position,
92400	94480	you should mark out the bullish candle
94480	96720	instead of the bearish candle.
96720	99160	But it's not gonna affect that much.
99160	102840	You can take your entry from the last candle, okay?
102840	104000	Or the, yeah.
104000	107720	So you can see if I drag this along,
107720	109400	we had market structure shift
109400	112800	and what was really nice about this breaker block
112800	115280	is that we had fair value gap here as well.
116160	120440	Now that is when breaker blocks become very, very,
120440	122560	I would say powerful, okay?
122560	125080	So keep that in mind that yeah,
125080	129600	you can use breakers as their own without fair value gap,
129600	131040	but if there's fair value gap,
131040	133800	then that entry is gonna be perfect.
133800	136760	So I'm gonna explain another thing.
136760	139280	A lot of people say that they missed their entries
139280	142760	whenever they tried to enter from the extreme fair value gap.
142760	145920	If you are, if you don't wanna miss, you know,
145920	148440	the trades, what you can do is right
148440	150800	when you have a market structure shift,
150800	154920	you can take your entry from the very recent fair value gap,
154920	155760	okay?
155760	157280	Instead of taking your entry from the extreme,
157280	159480	you can take your entry from the very first,
159480	161920	but there's a catch, okay?
161920	164680	You need to secure your stop loss.
164680	168760	So let's say if fries goes back to the extreme fair value gap,
168760	170240	you do not lose, okay?
170240	172280	You do not wanna give your money to the markets,
172280	174640	even though your analysis are right.
175840	178280	So this is the only way, guys.
178280	181720	If you want me to tell you guys to put your stop here,
181720	186280	yeah, of course you can, but you're gonna lose, okay?
186280	190480	And even though your analysis are going to be perfect,
190480	193120	a price can stop you up because it needs to fill
193120	195360	and balance the prices up there.
195360	198520	So keep your stop maybe here or maybe here,
198520	200640	and kaboom, okay?
203160	204000	Perfect.
204000	208360	So yeah, guys, I really hope that the,
211000	212360	you know, I really hope that you guys
212360	215040	have a clear knowledge about breaker blocks now.
215040	217680	It's simply the last candle.
217680	221560	So you have, so see, I'll try to explain it once again.
221560	224240	If Justin cares if anyone did understand.
224240	228280	So you have higher high, higher low, higher high.
229520	230400	Right?
230400	233320	So the last candle of the higher low
235680	237280	is gonna be your breaker block.
238280	242880	And you must get a market structure shift
242880	246360	after this new high is created, right?
247280	248840	And when you have market structure shift,
248840	252320	then that breaker block becomes valid.
252320	256560	However, if you had, let's say, higher high, higher low,
256560	259480	higher high, it's small, higher low,
259480	262400	and then higher high, and then market structure shift,
262400	265760	then that last candle would be your breaker.
265760	267960	So yeah, let's move on to the next videos.
