start	end	text
0	3460	All right guys, so here is example number three for the
4520	6680	second distribution entry model
7300	11560	Right here the bias was bullish. So we had a purge here
11560	13480	Then we had a market structure shift here
13680	16520	So now we wait for another break of structure, right?
16520	19440	So we have a market structure shift and now we wait for a break of structure
19680	22720	So that week is a break of structure, right?
22800	27080	So now we want to wait for that for the price to take out any low
27240	32400	So it could be this low here or it could be this so price takes out that low
32400	35880	So now we once again wait for double break of structure
35880	42240	So we have higher high higher low and then a higher high once you have that you mark out the extreme family gap
42840	44840	inside these two legs, okay
46680	52360	Over here, so this is the family gap price comes into the family gap at 8 15 and
53120	55120	We simply go for one two three
55760	58120	Like that or whatever the target is
59960	64720	So yeah, that's pretty much it about this guys. I want you guys to watch this so
65240	72960	Lecture again and again watch the examples again and again and back test again and again. Let's move on to the next lecture
