start	end	text
0	3200	Alright guys, so in this lecture, I'm gonna show you
3200	6200	how I personally use ABCD tweeting strategy
6200	10400	and trust me guys, this is like, I would say,
11880	15960	even powerful than ABC, if used properly.
15960	18440	And I'm gonna show you how to use it properly.
18440	22520	So how do I use ABCD tweeting strategy?
23560	25900	First of all, as I said before,
26840	29280	I look at the overall market structure.
29280	32160	Are we bullish or are we bearish?
32160	35800	Okay, once I know the direction of the market,
35800	38560	so I look back 30 days or 20 days,
38560	42720	and if the market is going up, I look for longs.
42720	45600	And if the market has been going down
45600	49840	for the past 30 days, I only shot guys.
49840	53140	That is one simple rule, to identify trends.
54140	59140	So, you have A, B, C, right?
61460	64460	You look for D-leg, okay?
68300	71860	And after that, you look for market structure shift
71860	74900	on a smaller timeframe, okay?
74900	77300	So there could be structure here.
77300	82220	Now, unlike, so in ABCD strategy,
82220	86140	we look for market structure shift above the range
87100	91980	or below the range, okay?
91980	96980	But in ABCD, what can happen is,
100020	102500	as long as this level is not broken,
102500	105460	you can look for market structure shifts.
105460	108300	And while this level gets broken,
108300	112100	you can still look for market structure shifts, okay?
112300	114460	If the trend is bullish, right?
116500	120140	This level can act as a liquidity level as well.
120140	123820	But most of the time, the pattern is gonna look like this.
123820	126540	A, B, C, D.
126540	128940	The D-leg takes out the low of the B-leg,
128940	130700	and then you look at the market structure shift
130700	132660	on a smaller timeframe.
132660	136740	So, the recommended timing,
136740	138180	the timing that I use,
138180	141260	the timeframe that I use for this strategy is four hour
141260	144220	and 15 minutes, okay?
144220	148780	And guys, trust me, I'm not lying.
148780	153220	This is like the best timeframe to use these strategies.
153220	157420	So, on the four hour, you look at the market structure
157420	159900	and you identify the ABC pattern.
159900	162700	And after that, you look for the D-leg
162700	164940	that takes out the low of the B-leg.
164940	166980	Once that low is taken out,
166980	169500	you drop down to 15 minutes timeframe,
169500	171240	and then you look for market structure shift,
171240	173720	with displacement that has favorably gapped
173720	176120	before market structure shift.
176120	179560	And you take your entry during Killzone hours, okay?
179560	182440	As explained in the ABC video, I have shown the timings.
182440	184560	You must follow that timing.
184560	188480	And you take your entry and you can look for one to two,
188480	190640	target some favorably gapped here.
190640	193800	Probably there is a supply zone or an auto block
193800	195080	with favorably gapped.
195080	196800	Your first target would be that.
196800	198340	You would take some partials,
198340	200380	you take some partials along the way,
200380	203500	and probably you could be trading your stop loss.
203500	206060	It really depends on your risk management style.
207180	210820	So, similarly, if we have a downtrend
210820	213300	for the past 30 days or 20 days,
214180	218100	you look for a purge of this level.
218100	221060	So we have ABC and this D-leg
221060	223780	takes out the high of the B-leg right here.
223780	225740	Once that is taken out,
225740	229300	you look for market structure shift on 15 minute timeframe.
229340	234180	And yeah, it's gonna break out perfectly, okay?
235060	240060	Now, sometimes what I do to make it even more perfect,
243300	248300	I would look for an ABC panel like that.
249300	254300	And I would use the fib from the start of a leg
256060	258180	and the end of C-leg.
259420	264420	And if the D-leg comes into 0.705 level of fib
267340	271580	or 0.79 level, right?
271580	273540	And then gives you a market structure shift.
273540	278540	Then guys, that is an A-plus setup, I would say, okay?
279060	281980	I mean, the previous setup is also A-plus,
281980	285180	but this adds in more confluence, right?
285180	288300	And if there is a perfect auto block
288300	290580	with fair value gap around this level,
290580	293260	then oh guys, trust me, you're gonna love
293260	295740	when this trade's gonna play out in your favor.
295740	298220	So you look for market structure shift on 15 minutes,
298220	303020	when price touches the 0.705 or 0.79 level
303020	307540	or an auto block around this area, right?
307540	310780	And I could say 0.5 above the 0.5 level
310780	314580	if you find an auto block or these levels,
315180	318220	the ODE levels, 0.79, 0.705.
318220	319420	You look for market structure shift
319420	324180	and you take your entry targeting favor gaps or auto blocks.
325660	327860	So let me give you guys a couple of examples.
