start	end	text
0	6560	Alright guys, so now we are going to learn the reactionary order block trading strategy.
8240	14400	So this is actually auto flow trading strategy, but with more confirmation.
14400	18880	And I do not mean confirming it on a smaller time for anything.
18880	21760	You will be confirming it on the same time frame.
21760	23680	It's different than whatever you have been.
23680	27840	I bet it's different than what you have seen on YouTube or on any other course.
28560	36400	So let's say we are in a downtrend, then we have this change of character or market structure
36400	37600	shift, whatever you want to call it.
38240	45760	Okay, once you have that, you will have a fair value gap plus auto block at this level.
46640	53120	Now, normally you would take your entry directly from here, right?
54080	58160	But in this scenario, what is a reactionary auto block?
58880	67280	So when price comes into this auto block, it must make a push up something like this
68000	72720	that will create another imbalance and auto block.
74000	78560	Okay, it must create imbalance and auto block.
78640	88080	After mitigating the auto block and favorite gap around this level, once that happens,
89440	92880	that is your confirmation entry.
93680	95520	It is going to increase your win rate.
96160	97280	This is what it's all about.
97840	100320	Okay, very simple guys.
100320	102000	I will repeat this again.
102880	107120	So we have a market structure shift here.
108240	113840	We got the fair value gap and auto block in the discounted zone.
115040	116480	Price comes back into this zone.
117200	121360	Normally you would buy it straight away, but sometimes it can just push through it, right?
122000	127760	You want to avoid losses, so you wait for price to give you another reaction, all right?
128560	133520	Once price hits this level, it must create an impulsive move.
134240	138320	It does not need to break any structure or anything.
138320	141840	It just needs to create an imbalance and auto block.
141840	142560	That is it.
143600	148480	Once you have that, you can take your entry from that auto block.
149680	153920	Now you can either put your store plus just below this new impulsive,
154560	159040	just below this new low that has formed, or you can put it down there,
159600	161120	just to be on the safe side, okay?
162080	163600	And voila, that is it.
164400	167600	Same for a continuation pattern.
167600	170000	Let's say we are in an uptrend.
170640	175360	Price makes another higher high, right?
175360	180160	And we got this fair value gap around here and auto block, so
180160	184960	this would have been an ABC pattern as well.
185760	186880	So what happens?
188000	198960	Price comes into this level, goes up, creates fair value gap, okay?
199600	206880	And then you target the high.
206880	208640	That is it guys, all right?
209600	214960	So price broke, did a market structure break, right?
214960	216640	It created fair value gap and imbalance.
217200	222080	Price made an impulsive move once the price hit the auto block and fair value gap at this level.
222960	225520	It created fair value gap and auto block here as well.
225520	227440	Now this is your confirmation entry.
227440	230880	You don't want to go to get smaller time frames and all that bullshit, okay?
231520	238160	You just can't easily take your entry here and do not chase big ratio board guys, all right?
238640	242560	If you stick with one to three, one to two, one to four, one to five,
243360	245920	trust me, that is more than enough.
245920	248000	Never chase a lot, okay?
248000	249680	Never chase big risk reward ratios.
250480	252880	The price is going to come to you, all right?
253600	255040	The market is not yours.
255040	256720	It can reverse anytime.
256720	260240	So why not just take your profits and enjoy the rest of the day,
260240	263680	rather than holding the trade and expecting to hit like,
263680	266240	I don't know, maybe 10 risk reward.
266320	271200	Yes, sometimes you can hit it, but it's just not worth it guys.
271200	273520	So just take your profits and enjoy.
274560	279440	So I'll give you an example of this reaction in your auto block.
279440	281040	So yeah.
