start	end	text
0	7620	alright guys so now that we have learned the market maker model now that we know
7620	13560	how to find our daily bias the monthly bias and the weekly bias now we are
13560	20760	going to use a complete I'm gonna teach you the complete model that has like the
20760	28880	best best win rate out of everything that I've taught before this is like the you
29880	35240	know I would just simply say the best strategy out of all okay and I'm not
35240	41160	even over exaggerating right the moment if you can apply you know apply this
41160	46640	strategy correctly your you are gonna pass challenges you're gonna become a
46640	51120	consistently profitable trader and you will not rely on other people or other
51120	60480	people's signals okay so here is the complete model number one we have to
60480	66440	look for external and internal liquid we have to determine our bias okay so we
66440	71480	are going to use three time frames for this strategy okay previously if we
71480	75840	use two right but remember in the beginning of the update I said that we
75840	80000	are gonna use the third time frame as well later on in the in the course right
80000	85920	so let's assume that this is the daily time frame this is the one-hour time
85920	89440	frame and this is the five-minute time frame because remember for the daily
89440	96320	we're going from daily to hourly to five minute okay so let's say that you have
96320	102240	a purge on the external liquidity on the daily time frame okay and you have the
102240	106160	favorite gap in the discount over here that should be a draw on liquidity so now
106160	112600	once you have the purge you simply drop down
112600	118160	let me mark this out like that you drop down to one our time frame so now price
118160	121240	has taken out this daily high with this external liquidity so now you're
121240	127360	waiting for that time frame to align with your narrative or your bias for the
127360	132600	daily so you want to wait for a market structure shift once you have a market
132600	135920	structure shift on the one-hour time frame after price takes out the daily
135920	140920	high right and you have the target here which is a fair valley gap now notice
140920	145920	here very carefully when price did a market structure shift there was a fair
145920	149640	valley gap right there was a PD area it could be an autoblock here could be a
149640	157920	fair valley gap price comes into that fair valley gap so now right I have from
157920	163720	from here to here this movement okay so from here this is the fair valley gap
163720	168440	this right here I zoomed in a bit okay so now once the price goes into the one
168440	175440	hour fair valley gap we want to drop down to the five minute time frame okay so
175440	180360	from daily we go to the hourly time frame we look for a market structure shift we
180360	184160	wait for the price to come back into the one hour fair valley gap and once
184160	188480	prices in the one hour fair valley gap or autoblock we drop down to the five
188480	196360	minute time frame so now this move from here to that PD area we have to look for
196360	202120	a market maker model inside this move all right so when price goes into the
202120	206840	fair valley gap the move starting from here must have a consolidation a first
206840	213320	consolidation right so now this right here is here okay look at this this
213320	218480	price action I have zoomed in and this is what it looks like so what do we have
218480	226120	here we have consolidation right so that is gonna be our target what do we have
226120	230400	here accumulation phase one which is consolidation number two right what do
230400	233880	we have that we have a market structure shift when price came into the fair
233920	238320	valley gap and then you can simply look to take your entry from the fair valley
238320	242560	gap or autoblock from here onwards when you get a market structure shift on the
242560	248640	five minute every single PD area is going to be respected all right every
248640	252600	single fair valley gap every single autoblock you get an entry here on the
252600	255400	fair valley gap right you have a break of structure you take your entry from
255400	261320	the fair valley gap you keep on doing that until this level is taken out make
261360	268520	sure this level has consolidation guys okay so we don't even look at the
268520	272600	fair valley gap we just know that our draw on liquidity is here the higher
272600	277000	timeframe draw on liquidity is here right but then we want to use the five
277000	281080	minute time frame to increase our chances right to win the trade right we
281080	286440	want to increase our probabilities here so we look for a market maker model
286440	291920	inside this move from this bottom low to this high into the
291920	296120	fair valley into the one hour free valley gap right and once price comes
296120	300320	into one hour free valley gap you look for and scout out the market maker
300320	306800	consolidation in this leg right in this leg around here starting from here
306800	311160	originally on the one hour this would have been our target this fair valley gap
311160	315400	on the daily time frame this over here draw on liquidity but on the five minute
315400	319360	when we drop down this is where we will not identify and scout out the
319360	323040	market maker model so now when price comes into the fair valley gap look for
323040	327240	a market structure shift take your entry break of structure entry break of
327240	333680	structure entry and remember mitigation blocks right so if a
333680	337960	mitigation that we have we can utilize every single mitigation block inside
337960	344000	this move so we'll have a border block here price touch like that let me just
344000	353480	try it out like that wait boom boom boom boom once this target is taken out
353480	360520	you are out of the trade guys very very simple
