start	end	text
0	7120	So here is another example on your old aud and you can see for the past 20 days 20 days or so
7600	10440	we have been bearish, right, so
11640	14420	After the formation of ABC right here
16040	17680	ABC
17680	21520	We have this level which gets taken out. So we have the D leg now
22120	29440	So let's drop down to 15 minute time frame and look for a shift and market structure or a certain market structure would be this
30480	36040	So let's see and as you can see price on broke the structure
36520	39020	So this right here is our autoblock
40120	42120	we can see this very well you gap
42280	44280	okay, and
44280	49920	I would go long here put my stop just right here above the low highs right here and
50240	57120	I would target probably this level right here for 2.56 or I could target this level
57440	61760	So let's see how this plays out. So first impartial would be here or
62600	65840	My full target would be here because I only take two or one to two
66040	69560	So you can see price get went back into our POI at 10.30
69680	72960	Which is during the kills and ours and if I play this through
75520	82520	You can see we would have a reactionary block re-entry at this level once again, so
82520	91360	Gonna see price just slide down hits our take profit level for 2.56 and
92840	98520	Even takes out this low right here. So we were if we were in two trades
99440	101440	that would be
101440	103440	I
106840	108680	Around
108680	112720	Seven RR combined, but I do not take trades like that
112720	114200	I will only take one entry
114200	117280	But it really depends on your style if you see a reactionary block
117480	125000	You can take another entry but because she was because sometimes price gonna reverse gonna get two losses for absolutely no reason so
127080	130200	Yeah guys that is the power of ABCD
130440	134760	Okay, of course you just not gonna go on the charts and just
135920	143760	Try this out on live markets you have to back test and you have to train your eyes to see this okay, I can teach you
144520	147360	All the methods, but you have to train your eyes
148080	151640	Okay to see these patterns and and all
152320	155720	Now you see this is this displacement, right?
157160	159160	This is a must
160160	164440	It broke structure with favorite gap and boom
166600	171400	The simple as that so now let me clear some questions you might have in your mind
172320	178320	The very first thing is you have to look for big structures. Okay, the structure can't be
178920	180520	Something like that
180520	183040	It should not be small pullback
184080	186320	Okay, cuz sometimes process gonna do that
186960	188960	what you want to see is
189640	194560	Price give you a bigger pullback something at around 0.5 level of 5
194560	200280	So you draw your fit from bottom to top and if price comes near 0.5, right?
201720	204160	Or slightly above it, you know
205440	208240	You will see when the pullback is great
208640	214680	Okay, so you look for bigger structures you look for a bigger a leg a bigger B leg and bigger C leg
214680	219560	and then you know the D leg so something like that would be prime and
222720	228480	Yeah, just follow the rules so another question that comes to my mind
231560	235200	Yeah, it's really that guys you don't want to look for small structures
235200	237480	So if you have a small structure like that
238000	244600	You have to wait for a bigger pullback. It's gonna look something like this. So boom boom boom boom boom boom boom boom
245320	247320	Then you have push up
249800	252440	Takes out literally and then you look for market structure shift
253240	256840	So I hope you guys enjoyed this video and let's move on to the next videos
