start	end	text
0	6160	All right guys, so here's another variation to this model that you can use, okay?
6440	14360	So everything the same, right? You have your external taken out your drawn liquidity is this fair value gap now on the one-hour time frame
14640	18960	Let's say you get a market structure shift, but you don't have a clean PD array
18960	22560	You don't have a fair value gap here. You don't have a clean auto block here, right?
22760	28160	What you can do is you have to wait for an ABC D set up to form here. So a
28800	30960	BCD, right?
32760	38400	Even if you don't want to take your trade from let's say the fair value gap you can look for this pattern here
38680	44520	So ABCD once you have the ABCD price takes out this high over here
44520	49760	So now we zoom in onto the five-minute time frame. This is when price takes out this level, right?
49840	53640	So we want to mark out this low, right?
53640	61320	And we want to scout out the market maker consolidation from this move right here, right to the to here. So
62040	64040	This right here is
64040	66680	Consolidation then we get second accumulation, right?
66880	72560	So now when price takes out the high we look for a market structure shift on the five-minute time frame, right?
72960	79920	From here onwards when you get a market structure shift what you can do is look for a second distribution entry model, right?
79920	85280	You can do that or you can just simply enter from the fair value gap that forms here or the auto block
86760	90560	Okay, so the continuation is mostly gonna happen from
92400	94400	8 a.m.
94520	95600	tail
95600	97360	then 30
97360	102320	okay, so look for a continuation set up in between these times and
103280	104960	Remember guys
104960	112840	Let's say that there is a news on the same day and your setup forms before the news. You don't have to take that setup
114040	119600	You have to in most cases wait for the news to be over and then you can look for the setups
120320	124520	Okay, especially when you are trading on the five-minute time frame because using this
125080	128640	Combination daily early in five minute. We're gonna be taking trades on the five minute
128640	131880	So we have to trade after the news is over
132320	134320	Not before that, okay
136400	142360	So this is the continuation pattern, right? You get a purge ABCD
142360	146200	Right, then you wait for a market structure shift on the five minute time frame
146200	148200	So the ABCD occurs on the one hour
148840	150840	once that happens you mark out the
151640	158080	move, right that is where you want to scout out the market maker model that has consolidation like that and
158720	160720	And
160720	166400	You dropped on to five minute get a market structure shift take your entry mitigation blocks boom boom boom boom boom
166760	168760	That is your take profit level
170080	172080	So
172680	174880	Yeah, guys that's pretty much about it
174880	181200	I'm gonna give you guys some examples and then we'll move on to the last couple of lectures
