start	end	text
0	7920	got so in this lecture, I'm going to teach you how I personally use ABC strategy. See, the method
7920	14800	that I've taught you already, it works like a charm, okay? But if you apply the things I'm going to
14800	19840	teach you right now, your win rate is going to drastically increase, okay? But it requires a lot
19840	28560	of patience. And what I'm going to teach you are a plus ABC setups, okay? So this is how I would
28560	34240	personally approach ABC strategy. So first of all, I will look at the high time frame. So it
34240	40560	could be a four hour market structure, right? Or daily market structure. So if the four hour or
40560	47120	high time frame market structure is bullish, I am going to only look for long positions, okay?
47920	53200	And if the market structure, let's say is making lower, lower, high, lower, lower, high, lower,
53520	60720	then I'm only going to look for short positions. How? I want to see a pullback,
61440	67440	then another pullback. So an ABC, oh my god, bro.
69840	82240	So ABC within this leg right here, okay? And this leg, let me do this.
82880	91040	You want to draw out your fib, right? From this move to this move. And you want to look for ABC
91040	100960	setup formations above the 0.5 level, okay? Or I would say this is the like this right here.
102240	110960	So the mid part. So this is 0.5, right? So the 0.5. So the mid part above the 0.5 level.
111520	120400	And this is like the golden area where you can look for ABC setups, okay? But generally,
120400	127520	you can look for ABC setups above the 0.5 level. So when price comes back above the 0.5 level,
127520	131760	you can drop down. So let's assume that you are looking at the market structure on
131760	136960	four hour time frame. What you can do is you can drop down to 15 minute time frame.
137040	143040	And then you can look for an ABC setup right on a 15 minute above the 0.5 level. And the
143040	150000	C leg goes into some sort of a supply zone or a or an auto block, okay? Or it could be a fair
150000	157440	value gap. So the C leg goes into the fair value gap right here. And then you look, you look for
157440	164480	the ABC setup formation, okay? And you take your entry during kills on ours. So the kills on ours
164480	175920	would be from three, two, six, that is for London session. And for New York, it's going to be eight,
177920	186480	30, they'll 11, 15. That is New York time. So this right here is London session. And this is
186640	195920	and this is New York session. So your entry must be between these ours. Okay, that is a must. So
195920	201440	let me repeat this again. You have lower, lower, lower, high, lower, lower, high, lower, lower.
201440	207200	So you draw out your PD area, which is, you know, discount and premium zones. So you want to wait
207200	213280	for price to come back into premium zone, right, which is above the 0.5 level. And then you look
213280	220560	for ABC formation, the C leg goes into some sort of POI. It could be an auto block. It could be
220560	230240	fair value gap. And it could be, yeah. So to refine it, even further, what I do is when I have a POI
230240	235840	here, let's say on the 15 minute, right, what I would do is I would drop down to five minute and
235840	243120	refine that POI even more to make it smaller. Okay. So sometimes what can happen if you have
243280	254720	a 15 minute POI, price can sometimes do this and then hit the, you know, the refined OB on five
254720	262160	minute and then give you an ABC setup. So that is sometimes I do something that I do sometimes.
262880	269760	So this is how I personally approach ABC guys. First of all, look at the market structure.
269760	277200	And how do you look? So what you want to do is you want to look back 25 days. Okay. So in the last
277200	284000	25 days, if the market structure is making lower, lower, high, lower, lower, high. So in real market
284000	288320	conditions, let me delete this, the market structure is going to look something like this. Okay,
288320	295520	it's not going to be a clear downtrend. It's going to have movements like this. Okay,
296480	302400	it's not going to be clean. So as long as the price is going down, as long as it keeps going
302400	308160	down, you just look for short positions. And that is why this method requires a lot of patience,
308160	313280	guys. It requires higher timeframe, like four hour timeframe. Yeah, it could, you could use one
313280	318560	hour, but I do not recommend that. I mean, you can use ABC on any timeframe, except one minute.
319520	324080	We can use it on one minute as well, but I do not recommend that timeframe. Trust me, it's just not
324080	333440	okay. But see, the high timeframe is going to make you profitable. This is it. I'm telling
333440	340960	you guys, just build this patience to trade high timeframe, guys. I know, I know you want to see,
341600	345760	you want to get that dopamine hit when you are trading on like one minute and five minute and
345760	351520	you see your trades going to profits and you're like, wow, I'm making money. But that is a bad
351520	354800	habit. And you're going to get addicted to trading. And when you get addicted to trading,
354800	359200	you're going to take five to 10 trades per day, which is really, really bad guys. And you're going
359200	364560	to prevent straight and going to blow your account. So just stay away from that. And similarly, if
364560	370640	you're looking at a market structure that is bullish and the price is making high, high,
370640	377840	high, low, high, high, low, then you only have to look for long setups. So a long setup puts
377840	387600	look something like this. You would have a B C going into the sea, like going into some sort of
387600	396080	auto block, right? And you look for shift in market structure on a smaller timeframe,
396560	405760	like that. And you literally just take your entry, right? So I'll give you guys a couple of examples.
405760	409840	And then it's going to be clear guys. So here is example number one, as you can see for the
409840	417280	past month, we have been bullish, right? So we created this higher high. So we can expect higher
417280	424560	prices. So now this right here is our POI. And you can see price came here, tap to do this level.
425120	434800	And forcing the early buyers to like go long, but watch what happens. You have an ABC pattern.
435840	442320	Inside the POI, which is a nice thing, like it doesn't necessarily have to form inside the POI.
443360	448640	We only need to see the seal that go into here. But if this occurs, then it absolutely fine as
448640	454320	well. So let's go to the 15 minute timeframe to look for market structure shift. So as you can
454320	460960	see, there is no clear structure here. So in this scenario, what you can do is you can drop down to
460960	466080	five minute. Okay. And when you drop down to five minute, you can see that we have the structure.
466080	472720	So I want to see a body close above this level. So let's see what happens.
475280	481600	And I believe we do have a body close right here. So we look for extreme water block,
481600	487280	which is right here, as you can see, this right here. So I'm going to mark this out.
487440	498720	Okay, perfect. And I'm going to take my entry from this level. Probably put my stop just below
498720	505040	this low right here. And I would target one to two, but let's see how this goes.
505440	510720	So price comes back,
512960	519600	taps in, right, and just watch that move. It's crazy.
521680	525680	So price went ahead and took out this high right here.
525680	534400	So remember, we knew that we were bullish for the past month, right? And
538640	544800	you know, we took the straight right here and we targeted this low. So that is like prime
545440	554160	ABC, your take profit level was hit. And right after that, you have a reversal. So I'll give you
554160	560320	guys another example. All right, guys, so here is example number two. You can see we are bullish.
560320	568800	We had a breakout structure, identifying and showing us that the trend is to the upside.
568800	572240	The market structure is bullish. Okay, that's all you need to identify,
573040	579920	market structure guys and trends. So look at the last 20 or 30 days. And if the market is
579920	586160	making high highs, higher lows, higher highs, then that is plus point. Okay. So right here,
586160	595600	you can see we have this auto blog and we also have this volume and balanced right here.
597200	603840	So you can see that, let's remove this for now, let's consider auto block as our POI,
603840	611200	just for the sake of this example. So right here, you can see we have A, B, and C. The C leg
611200	618720	goes into our POI. So let's drop down to 15 minute timeframe. And let me show you how this goes.
621920	626640	I want to look for a shift in my, okay, so we have a market structure shift now.
627520	635280	So if I look at here, this is the first candle of the favorite gap, right? So this is our auto
635280	643280	block. I would take my long position just right here. I would put my stop below this low or this
643280	654080	low. So I would target the high of the B leg, which is this. So let's see how this plays out.
656720	661120	So we get a tap. Right. So let me do this.
664160	669120	Boom, a look at the power guys, one to 10 secured within
671440	678400	a couple hours, guys. That is how powerful it becomes when you are following the trend,
678400	685280	you're taking trades in the direction of the trend. And also you are using POIs with ABCs.
686240	692560	Okay. So and you're also using higher timeframe. Higher timeframe is the king guys. Just stay away
692560	696960	from low time frames. If you want to take trades like these, because when you're using higher
696960	705680	time frames, you're going to see moves like this. All right. So it's simple guys. Remember the rules,
705760	718160	we look at high timeframe market structure, right trend. After that, we mark out the premium
718160	728000	slash discount zones. Wait for price to come below slash above
731120	740080	0.5 level of fib. Wait for ABC for formation.
740720	757120	Below slash above 0.5 level. And the sea leg goes into that POI. Now, when I say that sea
757120	765920	leg must go into that POI, what can happen is the whole ABC setup can form in that POI. So it
766000	773280	doesn't necessarily have to be the sea leg. But if the ABC pattern occurs in that autoblock,
773280	780720	when you have like, let's suppose you have, you know, a POI marked out. And what can happen
780720	788720	sometimes this price going to touch this autoblock, push up and then create another an ABC pattern
788720	795280	inside the autoblock. Right. So it's going to look something like this. Boom, boom, boom, boom.
796160	801920	Simple as that. So I hope you guys enjoyed this video and this lecture. If you have any more
801920	813600	questions, you can ask them in the discord and I'll see you guys in the next video.
