start	end	text
0	8360	All right guys, so in the final trading strategy video, we are going to learn ABCD trading strategy
9480	13160	This one is just like ABC, but it's a reversal
13680	17680	So I'm gonna explain what it looks like, but let me explain it. So
18520	22560	This is the ABCD trading strategy, right?
22560	32640	Now what is the D here? We know what is ABC, but what is the D here? So let me explain
34520	41540	So we got the A wave, we got the B wave, then we got the C wave, right? This is pretty much it
42920	44920	But then
45320	47320	We got the D wave
47640	50040	Right, that takes out this high
50920	54560	Sorry this low, right? This is your take profit when you
55760	62300	So let me just draw it in a more clear way. So you will get your entry at the retest, right?
63600	66300	or some model block over here and
68200	69960	then
69960	73000	You see price take out this low
73000	75080	And
75080	78280	Then what you want to do is you want to wait for price to go back up again?
78280	82840	And then you want to take entry again from this level and it will go up there
83640	86880	So this is ABCD trading strategy
88240	92520	Let me explain once again. So what we have is a
93880	98320	A, B, C, right pretty much it
98320	104760	Then we wait for the D move that breaks
106600	112920	D, A, B, the low of the B move, right?
115920	118320	And then price goes up
120760	127240	Retest this level or some farewell gap down there and it goes all the way up
129320	134160	Very simple trading strategy guys. So let me show you an example
136360	137720	So
137720	141440	What do we have here? We got the A wave
142280	145920	We got the B wave and we got the C wave, right?
148040	150040	Let me put this like this
150360	152520	Put it like this and bam
153600	157520	We broke this level very nice. So as you can see we
159080	161080	Let me remove that
161480	165720	We got this level we broke this level we reclaimed this level
167880	169880	Didn't quite break the structure over here
169880	175600	But this is a New York session trading strategy and sometimes it couldn't work in the length session as well
176080	181040	Only sometimes okay, so keep that in mind. So as you can see when price
182080	183440	breaks
183440	186240	This level, which is sorry my bad
187240	189240	This level
189960	192280	So you can see we got the A we got the B
192280	197600	We got the C and then we got the D the D takes out the low of the B move the B leg
197600	200440	Right and then it reclaims that level
201000	203000	You can enter on the retest here
203480	208000	Put your stop plus below this low and go for one to two. That is pretty much it
209840	213980	This is a very simple trading strategy guys like they are gonna be
214660	217340	Analysts opportunities for you to enter the market and
219060	225460	As you can see for more confluence, it also broke some structure here, right? So let me point this out
227380	229380	All right, and then we had a
230180	236180	Very tiny imbalance around this level. So let me put this in this it's this very tiny balance that I can see
236580	242460	Let me zoom it in. Yep, and price just wrecked it off this auto blog and it went all the way up
242460	245420	So let me give you one more example
