start	end	text
0	5760	hello guys welcome back in this video we are going to learn about market structure
5760	15800	if you're looking at a bullish trend if you want to identify a bullish trend you
15800	21040	would be looking for higher high and higher lows so what is higher high and
21040	34960	higher lows this is considered as higher high high low higher high high low higher
34960	43240	high and higher low this state of market is considered to be bullish when you see
43240	49600	market creating higher highs and higher lows then that market is considered to
49600	58440	be bullish when you want to identify a bearish trend you would be looking for
58440	66040	lower lows lower highs lower lows lower highs so this is what lower low and lower
66040	68880	high looks like
69440	82300	lower low lower high lower low lower high lower low when you see market
82300	89220	constantly creating lower lows lower highs you will know that the market is
89220	97980	in bearish condition okay so for bullish market we need to identify price
97980	105020	creating higher high high low higher high low and in case of bearish market if
105020	110420	you want to identify a bearish market you would be looking for lower low lower
110420	118620	high lower low lower high then we got another market condition known as
118620	127440	ranging market now what is a ranging market when price is not moving in any
127440	137520	direction but it is moving within a small range so this type of price action is
137520	144240	considered to be ranging when you see this type of market it is considered to
144240	150540	be a ranging market and I have a strategy based on their ranging market
150540	157140	condition so there are three types of market structures we got a bullish
157140	161860	market structure we got a bearish market structure and then we got the
161860	171260	ranging market structure so this is a very simple textbook definition of
171260	181800	market structure now let's go let's suppose that you are looking at a market
181800	188280	structure on a five-minute time frame you are gonna see that price is making
188280	195280	higher highs and higher lows but when you drop down to one-minute time frame
195380	200580	you are gonna see that the market
208380	218460	oops sorry my bad let me draw this out and then I'll explain
218460	230240	okay so I'm gonna change the color of this and make it a little
230240	237040	oops not that is a bad color let me change it to something yellowish okay
237040	246360	wow this is bad this is bad wait wait okay so when you drop down to one
246360	251640	minute time frame you are gonna see that in this five-minute time frame
251640	261920	like to the downside we have a downtrend right but so you can see that the price
261920	270080	is fractal all right so let me just move this away you see this is we are
270080	274560	looking at this on a five-minute time frame but when you're gonna drop down
274600	280920	to one-minute time frame you're gonna see something like this in a uptrend on
280920	287400	the five-minute time frame you can see a downtrend on a one-minute time frame I
287400	294320	hope that definition is clear on an uptrend on a five-minute time frame
294320	303600	you can see a downtrend on a one-minute time frame so what does that tell us it
303600	309680	means that we can trade on any time frame it doesn't matter if you are
309680	314160	trading on a daily time frame it doesn't matter if you're trading on a early
314160	318360	time frame or it doesn't even matter if you're trading on a one-minute time
318360	325720	frame if you know about market structure you can trade literally on any time
325760	336720	frame so yeah I hope this clears everything about market structure so you
336720	345440	can see that the price would be creating low lows lower highs on this
345440	350600	leg of five-minute time frame so a small pullback on a five-minute time frame
350600	357000	could be a big downtrend on a smaller time frame so let's say you were looking
357000	365840	at this chart on an hourly time frame one-hour time frame on the pullback on one
365840	371000	hour time frame what you will do is you will then drop down to five-minute time
371000	376040	frame and then you're gonna see something like this you will see a downtrend on a
376080	381640	five-minute time frame but on the hourly time frame the overall trend is bullish
381640	388120	so this is what I'm gonna teach you in the upcoming videos and how you can trade
388120	398600	knowing that if a if a market is bullish in one time frame you can trade the
398600	403840	market as bearish in a smaller time frame I hope that clears what I'm trying to
403840	408160	say I'm sorry if my English is bad or it's hard for you to understand the
408160	413200	certain concepts but I'm trying my best here so this was all about market
413200	419400	structure I hope it's clear and I will see you guys in the next video
