start	end	text
0	6920	Alright guys, so here's another example you can see we got the A move we got the B move and then we got the C move right here
8460	10460	So let me draw this out
10520	18220	We take out the high of the A move and then we take out the low of the B move
19360	25760	Right once we do that we reclaim that level and then we enter on the retest
26680	31620	Put the stop those right below the slow and we target one to two that is it
33960	36840	So I hope this is clear to you
38640	44960	This is a very simple trading strategy. So basically, this is liquidy purge liquidy purge and then moving in the
46040	49760	The direction the price is intended to move like
50720	55780	Originally so after taking out the liquidy from the both sides price gonna move to the
57320	61240	Direction it would want to go. So this is how you enter these trades
62440	70520	So guys this is eight for this course. I will be uploading more videos in the future. I'll be adding more content
71080	73480	to this course in the future. So I
74320	81080	Really do hope that you learned something from the scores and I can't guarantee you if you back test these strategies and
81800	85520	Within three to four months you're gonna be insanely profitable
85600	89320	Okay, and I'm sure you're gonna pass your first ever
90360	91800	Pro from challenge
91800	98320	So thank you so much guys for purchasing this course. I really appreciate each and every one of you who trusted me and
100400	102400	We will meet again
102400	107240	In my future videos. So thank you so much and goodbye
