start	end	text
0	5920	Alright guys, so in this lecture, I'm going to teach you how I personally use Autoflow Trading
5920	13520	Strategy from A to Z, what I look for and all, okay. So this is my personal method. The matter
13520	18640	that I've taught you before, it works as well, but this is a little bit different how I approach it,
18640	26720	okay. So first of all, as you know me, I like to stick with higher time frames. So first of all,
26720	32320	I would go to the 4 hour time frame or daily, okay. So let's suppose I'm looking at your USD.
32320	40320	So for Autoflow, what I like to do is use your USD, GPU USD and AUD USD because I like to,
40320	47040	you know, combine DXY and these pairs together to find Autoflow trades and I'm going to explain
47040	53200	that later in the video. So if I'm on the 4 hour time frame and the market structure is
54160	64560	bullish, right, I'm only going to look for, you know, long positions, okay. And I want a clear
64560	72560	trending market, I do not want one consolidation, something like that, okay. No, I want like a clear
72560	79840	perfect trend. So what happens is when you are on a 4 hour time frame, you're going to have,
80560	84000	so let's say you have a new break of structure, right. So this right here is a new break of
84000	91040	structure. There is going to be an auto block and for, you know, when I'm on a higher time frame
91040	97920	and also for the auto flow strategy, I use the auto blocks, the last bearish candle before
97920	105520	move to the upside or consecutive bearish candles before move to the upside. I have made a video
105520	111760	about auto blocks on my YouTube, you can go and watch it. That type of auto blocks I use for
111760	118480	this strategy, specifically only, okay. So what I'm going to do is going to patiently wait for
118480	128000	price to come back into that auto block. Okay. And when that happens, wait, yep. When that happens,
128000	134960	I'm going to drop down to 15 minute timeframe. And I'm simply going to look for market structure
134960	143280	shift entry during kills on ours and boom. That is absolutely it guys. No need to complicate it.
143280	149040	Okay. And I will give you examples and it's going to be clear to you, but let me show you another
149040	156960	bearish diagram. So let's assume that you have a bearish trend. And you have consecutive bullish
156960	161600	candles before move to the downside. So you mark that out the body of the candle. Okay, you're
161680	165680	going to watch, you have to watch that video on YouTube. And then you're going to know what
165680	174480	I'm talking about. So when price comes back, right, you drop down to 15 minute, you look for market
174480	185200	structure shift. Okay. And once you have like market structure shift, you take your entry
185760	194480	from that last bullish candle that is going to be here, the body of the candle. Okay. Or you could
194480	200720	use consecutive bullish candles. So I will give you an example. I'll give you a couple of examples,
200720	205600	and it's going to be clear what I'm talking about. So the very first rule is identify
206400	220000	high timeframe market structure. Price action has to be in a solid trending position. Okay. It has
220000	227600	to trend. Okay. It does not need to be consolidating. No, we do not want that. Because when price is
227600	233600	consolidating, that is the condition where there's going to be a lot of liquidity sweeps. So even
233680	239120	though your buys or your prediction about the trend is accurate, it's going to stop you out most
239120	247600	of the time. So just see, guys, Forex is the game of patience. If a guy is good with his psychology,
247600	253360	and it has, and it has some sort of patience, he's going to just kill these markets. Whereas a
253360	258880	person who has like the best strategy in the world, but his psychology is shit, he's going to lose
258880	267760	money. Trust me. Okay. Because when I studied ICT back in like 2018 and 17, I was a student.
268720	276480	And I knew what I was doing, but my psychology was so bad, guys, like I literally would over risk
276480	282240	revenge trade and all. So don't do that. Okay. I'm just saying these things because so you don't
282240	289440	have to go through those things again. So in a solid training position, we have that perfect
289440	299520	wait for your break of structure. And also, let me point this out. The autoblock that is right here,
300160	308320	right? It could be here as well, too. And it means any autoblock above the 0.5 level. Okay.
308400	312560	You just have to look for confirmation entry. So let's say there is a bullish,
315440	320800	yeah, if there's a bullish candle right here, some around here, right, you wait for price to come
320800	333200	back here. Let me do that. Okay. So you wait for price to come back into the autoblock,
333200	338160	look for market structure shift. And if it gives you market structure shift or confirmation entry,
338160	340960	take that trade. Okay. Simple as that.
343680	351520	And what I sometimes like is when I'm on the phone all the time from, right? And there's autoblock
351520	357520	here. I want to see some sort of a little bit of consolidation here, guys, like if you have the
357520	364160	patience to look for this, right? And then price goes back into your PI, look for confirmation entry
364160	372240	and boom. Okay. So here, guys, let me give you guys a couple of examples, and that is going to be
372240	380240	clear for you.
