start	end	text
0	6520	All right, everybody, so here is example number one looking at GPP USD on the six minute time frame
6520	10320	So the reason why I'm looking at the six minute time from is because if I go to the five minute time from
10680	16360	There are two for body gaps here one here and one here. So remember as I said before
17320	19320	the
19640	26480	Leg that takes out liquidity or does a break of structure must only have one for your value gap and over here
26480	31320	You can see we took out this high here and also these
32280	34280	this high over here
34400	36400	once again and
36640	38960	Let's see if we got something else if we took
40160	43600	And you can clearly see this old
44240	46240	liquidity was taken out so
48760	50760	Now once it was taken out
51240	58640	We had this fairly up we draw this along like that and remember we we're gonna trade during the kills on ours
59080	61080	so from 2 a.m.
62240	64240	Right till
65040	67040	11 30
68120	73040	Now what happens here after liquidity sweep and break of structure most of the people
73520	75520	would be going long of
75800	79680	this fairly gap because they would consider this as a break of structure
80280	81280	Right
81280	83280	But this is basically an SMC trap
83680	90000	Now what happens price closes below this level right here my entry would be on the retest
90400	92400	oops my bad
94360	99680	Right and first of all I will adjust my take profit level. So this is right here
99920	103200	Now it's giving me one to one to one point zero five
103200	108200	So I can just move it slightly up like that until it gives me one to one at least
108920	113320	Now this is where I would go break even and this is the closest
114200	115960	low
115960	117320	Okay
117320	119320	not this because
119520	121520	This low was created
122040	124840	After the inverse trivial gap was formed
125200	129040	Okay, so this is not going to be a take profit level because
130040	132040	This price section doesn't matter
132680	138600	For your draw on liquidity you have to look at the previous process which was this leg, right?
138920	145440	So we created inverse look to the left which is the closest low that is gonna be take profit level now over here
145920	147440	you
147440	152600	Could have taken full profits or could have gone break even and held the trade
153200	158760	until this level was taken out or even this level was taken out
159680	161680	Okay, so
161840	167040	You could have held this would have given you one to one point five or you can have gone for one to two
167480	172360	Very simple and very very powerful. Let's move on to the next example now
