start	end	text
0	5440	All right, guys, so this is going to be the last lecture of the course update in this video in this lecture
5440	10480	We're going to talk about how to do proper risk management for passing the
10800	15440	problem challenges and also how to keep the account that you pass, okay?
15920	19360	You see a lot of these people have that they have infinite amount of you know,
19440	22560	problem accounts and you wonder why you still don't have one, right?
23120	29920	It's it's because they have a different approach to these accounts. They have a different risk management strategy
30160	36240	for problem challenges. That's why they have so many accounts. It's not that they don't blow up their challenges, right?
36400	41040	Even I do sometimes. I don't I don't yeah, it happens with every single trader
41680	47920	All right, it's not that if you fail the problem challenge you are an unsuccessful trader. No, it's not the case
48960	54080	10 percent in 30 days or 8 percent 30 days is absolutely insane, okay?
54560	57920	And it's like 60 to 50 percent chance that you can attain that
58720	59920	a
59920	61200	normal
61200	67920	Experienced well-mounted trader is going to only be able to do 4 to 5 percent or 6 percent max per month
68400	73360	But 8 percent is way too much or 10 percent is way too much, but we have a risk management for this
74560	81760	For passing the problem challenges. So on the face one, right? The very first face. Our goal is to win two trades in a row, right?
82400	88240	Then risk one person on your first trade and go for one to two rr, okay?
88320	90960	So let's say you win your first trade if you win the trade
91600	97280	Then you take the second trade and risk two percent and go for one to three if both trades hit tp
97280	100880	You will get eight percent, which is enough to pass the phase one, right?
101520	105120	So on when you are on break even right you start your fresh account
105520	110480	You risk one percent and go for one to two goal here is to win that trade
110800	114640	You have to look for an eight plus setup the best setup possible
115120	118240	Win that trade you will get one to two. So now you have a buffer, right?
118880	120240	now
120240	125200	If you win that trade you will have two rr in your account now for the second trade, right?
125680	131920	You want to find an eight plus setup as well and risk two person for that and go for one to three, right?
132160	137520	So you go for one to three that would be six percent and two percent from the first trade that is eight person
137840	144640	You will pass most of the profit from challenge. However for fdmo what you can do here is you risk one person, right?
145360	147360	You have two percent
147360	149120	Then you take another
149120	151120	You risk one person again, right?
151120	154960	You get four person profit and then you can go for one to three
155120	161920	So three days it's going to take for you to pass the fdmo challenge. So the third trade is going to be two percent
162720	169920	If you lose the first trade and our blowbreak even keep risking one person until you are up by two person and then risk two person
170160	172720	So the thing here is let's say you lose your first rate, right?
173280	182080	It can happen you keep on risking one percent until you are in profit by two person and once you are in up by two person you risk
183200	188560	Two person for the next trade and you're gonna get and you're gonna go for one to three, right?
189040	191280	You normally will go keep on going for one to two
191360	196240	But once you are up by two percent, you go for one to three by risking two percent. You will get eight percent for phase two
196960	199360	Once you pass the phase one for phase two how to pass that?
199840	204160	So risk one person on your first trade and go for one to two risk reward, right?
204240	209280	If you win the trade take the second trade and risk one person and go for one to three
209520	214240	If both trades hit tp you will get five percent, which is enough to pass the phase two
214720	220720	If you lose the first trade and our blowbreak even keep risking one person until you are up by two person
220800	224960	And then risk one person again until you and go for one to three, right?
225120	228960	So the for the first trade we go for one to two and for the second trade we go for one to three
229040	231920	You have to find the eight plus setups for both of these trades, right?
232720	239680	I don't care about the rest of the trades, but for the first two trades you have to find the best possible setups guys, all right?
240640	246560	So that's pretty much it. So now how do you keep your account, right? Let's say that you have paused these two accounts
247920	249920	You have to risk
249920	253440	zero point five percent per trade on your funded account
255280	261920	All right, you have to do that and once you are up by let's say one person or two percent in profits
262560	264560	you risk one person
265040	268880	Right and if you lose you go back to let's say a break even
269120	272880	You then risk zero point five until you are up by
275600	279840	One or two percent, right? So let's say you are up by one person you risk one person, right?
280880	282960	And you go for one to two once you get
283840	289360	One to two you are in three kip profit, right? Three three thousand dollars on hundred k account
290000	293920	You just withdraw that profit. Don't go for more
294400	298000	Trust me. Don't go for more. Just get these tiny profits and get out
298320	304880	Go and buy another challenge phase and keep on building your account your your funded account, right?
305200	311760	How many accounts you have you have to keep on building that don't just be stuck on one single account and don't be greedy, right?
312160	317680	If you see like two to three k per month on a hundred k account has more than enough guys
317920	319920	That's what I do. That's why you see me taking
320720	325680	Way two less trades every single month because I'd only need two to three percent. That's it
326320	327280	so
327280	331200	When you start out risk zero point five percent per trade
332240	334800	Once you are in one percent or two percent profit
335200	337200	So let's say that you are in two percent profit
337440	339440	You have to risk one percent, right?
339920	342560	If you are in one percent profit, you also risk one person
342960	347440	So let's say you are in one percent profit. You lose that trade. It's totally fine
347760	353280	You have you are at back at breakeven. So now you keep risking zero point five till you're back at one person
353520	356160	Once you're back at one person percentage right profits
356400	360320	You risk that one person and go for one to two and wise worse that guys
361040	365680	So that's pretty much it about about it guys. I really hope that you guys
366400	370720	Learn something from this course update. Of course, they're gonna be more course updates in the future
371200	375840	But for now this is what you need to become an independent trader
376240	382640	Go and back test back test and back test don't go on the live charts, right? You need to back test and you need to be confident
383920	387760	I'll see you guys in the next course update. I'll see you guys on youtube
388640	393360	In some days. So love you guys. Hope you guys have a great night or day
394080	398480	Enjoy and yeah, thank you so much for watching and
400480	402480	Bye-bye
