start	end	text
0	7680	All right, so in this small lecture, I'm gonna tell you how you guys you to you can utilize the silver bullet with the
7920	10740	External and internal liquidity method. All right
11180	16760	So we're gonna start off on the 15 minute time frame if you're gonna take your entry on one minute and
17360	21640	On one hour time frame if you're gonna take your entry on the five minute time frame, okay
21740	25160	So let's suppose that we're gonna take our entries on the one minute because as
25720	30440	I see he has taught himself you can take your entries on one minute or five minute. It doesn't matter
31520	34920	so let's say that we are on the 15 minutes, right and the
36040	42840	the I see the silver bullet timings are three to four and ten to eleven am right New York time
42920	46160	So let's suppose that before ten, right?
48200	54520	Or even after ten right you have a purge on the external so let's say at nine fifty nine thirty
54520	57880	You have a purge and you have a fairly gap
61200	64860	Where is it dude, okay, you have a fairly gap in the discount, right?
65560	68640	You want to wait for a shift in the market structure, right?
69080	71720	The shift in market structure can happen before
72520	76840	940 before 10 right it can happen at 949 50 doesn't matter as
77400	83120	long as this internal liquidity is intact your draw is gonna be this so let's say
84600	92200	First let's talk about the first scenario, right? You drop down to one minute now. You get a market structure shift entry beautiful. I
92920	95480	Mean don't target this just go for one to two
95840	101840	But there's another scenario where this market structure happens market structure happens
102240	105120	before ten right and you get let's say a
106440	111960	Push down another break of structure and that's when when you have this break of structure, right?
112480	114480	Oops my bad
114480	119080	That's when the silver bullet timing start and you have a fairly gap here
119080	124280	You are going to take that entry from that fairly gap because we know our drawn liquidity is here
124360	129920	So take that trade very simple. We go from external to internal
130600	137720	Your entry must be at 10 after 10 right of the fairly gap that forms after break of structure or
139000	140680	displacement
140720	146720	But I would suggest that you look for a market structure shift after 10 right or
147560	154440	Let's say you have this level here price goes up gives you a shift in structure your entry is at 10
156680	161520	This the first move is always hyperbole now in this case
161640	167240	You can look for that second distribution entry as well on the one minute time frame, right?
167240	172640	So you can get a purge here, right? And once you get a purge you look for a
174280	176280	Double break of structure, right
178400	181920	You can get a double record check that you can take your entry from that fairly gap
183000	189720	So that is going to like increase your silver bullet wind rate to like like it's going to increase it by a lot
191120	195200	So yeah, that's that's about it. Let me give you guys
195200	202800	And an example and then we'll move on to the last lecture, which is going to be how to pass your prop from challenges
