start	end	text
0	6960	I write everybody so here is another trading model that you guys can use and the thing is I want to
8080	15360	you know I like to keep things simple. I do not want strategies where you have to use
15360	20960	so many things and combine them together and you know use all of those different steps standard
20960	27360	deviation and all even though they might have a better accuracy but overall in the long run if
27360	34400	you stick to simple things that's gonna make you profitable all right so just as I thought to
34400	40560	you about the inverse probability gap so we can do the same with the autoblocks so here you can see
40560	46560	that we get a market structure shift so now you're gonna have an autoblock here consecutive bullish
46560	54640	candles or consecutive up closed candles and you might have noticed that most of the time and
54640	60720	I'm not saying go and watch your charts it's gonna go to the autoblock but it's gonna rip through it
61520	71360	like guys there's a way to to take a trade from here so most of the time the reason why I hate
71360	77360	I'm not saying I hate but I dislike the ICT 2022 model because once you get a market structure
77360	81440	shift and you have like your autoblock here or your favorite gap it's gonna rip through it
82080	87600	most of the time so here's how to trade it you have your autoblock right if it if it goes above it
87600	95360	right and first off it has to go up right wake above it or something like that or close above it
95360	100400	and then I want the body to close below the autoblock a reclaim of autoblock just like inverse
100400	104800	probability gaps and then the entry on the retest and we target somewhere around here
105760	112560	very simple right and if I remove the drawings right here you will get another type of this where
112560	119520	you have a break of structure right and most of the SMZ or ICT traders will try to go along from
119520	125200	the autoblock that should be here consecutive bearish candle or consecutive down closed candles
125200	133840	now you might have noticed that price will not react from here now in most cases in some cases
133920	139920	actually not most yes it can but we have to look for a confirmation entry like that okay but
141280	146320	what if price does this there's a way to enter through it just like ABCD right
147680	154240	you wait for price to sweep the autobock I call it the autoblock liquidity right this low here
154240	162480	wait for a reclaim entry on the retest and you target this very simple this is basically if
162480	169200	you use these simple things because the thing is guys ICT has of course created a lot of smart
169200	176160	money students okay he has like taught so many things and they work they work perfectly but
176160	181200	they didn't work straight away you know each of us every guru out there who is like a gentleman
181200	188400	guru had to go and back test for several months and years it wasn't like a piece of cake where
188480	192800	ICT gave you a strategy and you went on to the charts and then it started to work out of nowhere
193520	200240	we had to test and refine things and when we saw these things working that's when we put it out
200240	207680	on youtube or in the courses so over here this is what works usually you would try to go long here
207680	216400	but what happens we get a sweep a reclaim then an entry on the retest and we target this or
216400	221040	fairly gap around here let me give you guys some examples and then I'll end the video
