start	end	text
0	5840	Alright guys, so here is an example number two for using the silver bullet with bias
6360	11880	So in the 15 minutes as you can see we have taken out this external right and we took this out at
12800	15600	845 but we have our draw on look really still intact
15600	20720	So let's go to the one minute time frame here and let's wait for that 10 o'clock time to hit
21400	23400	So we're gonna wait for that
26680	29280	Okay, so over here
30000	33280	This is when the clock hits 10, right? We have the 10 here
34640	38160	We have the shift in the marker structure as well
38680	42640	We have it here as well, right? We filled in this fairly gap
42840	50040	So now we only have this fairly gap left. This is our draw on liquidity, right? So our entry is gonna be off this fairly gap
50880	54840	or the 0.5 level of this fairly gap, right and
54840	60640	if I play this through you can see that the take profit was hit and
62400	67960	From there onwards, I don't know what price does. I don't have to think about it. My target is hit
67960	73800	I have sculpted out the silver bullet right one to one or one to one point five or one to two
74360	76360	Is what I should suggest?
76360	81800	So you could have easily gone on that by going long here is putting your stop here and then targeting this
82400	83760	so
83800	89880	Just go and experiment with this. It's very very powerful and maybe that can become your model
89880	91880	I don't know but
91960	100000	It's really up to you and I'm showing the things that work. So good luck. We're using that. So let's move on to the last
100840	107280	Lecture guys, I'm gonna teach you how you can use proper risk management to pass your prop from challenges
108160	110160	So see you guys in the next one
