start	end	text
0	10560	all right so welcome back this is course update 0.4 I believe so I think this
10560	17680	will be the last course update for now because I do not want to like put out
17680	22360	all the information then confuse with confuse you with all the stuff that's
22360	28200	out there just want to put out the useful stuff I believe because and this
28240	33120	update is really really good like I think it's one of my best updates so far
33120	41000	and you will learn a lot of stuff from here so in this video we will learn
41000	46280	about the highs and lows that are formed inside a fair value gap and you can use
46280	53160	this technique to find your daily bus and you can also use it as a model if you
54160	60520	like so over here let's assume that there was a fair value gap price came
60520	70160	into this fair value gap it created a low and then it pushed back up and it went
70160	78040	into this fair value gap right here so this high over here so let's assume
78040	82280	there's if all the fair value gap here right pros went through this fair value
82280	88600	gap and created this high over here inside the fair value gap now let's
88600	96280	assume that we are looking at this on 15 minute time frame so once price takes
96280	104680	out the low that was formed inside this fair value gap we can drop down to one
104680	110080	minute time frame and look for a market structure shift once we get a market
110080	115840	structure shift our next target would be the high that was formed inside the
115840	125080	fair value gap so price is mostly doing this to deliver you know price if that
125080	128760	makes sense so you get a market structure shift then you can look to take your
128760	136040	entry and you can look to target the high over here and that could be your last
136040	142600	take profit level don't forget about the fair value gaps in this leg you can
142600	148840	look to take partials but this should be your draw on liquidity because price
148840	152360	what it does it takes out the low that was formed inside the fair value gap
152360	157160	and goes to the high that was formed inside the fair value gap or it goes to
157160	162760	the high that was formed inside the fair value gap to the low that was formed
162760	165520	inside the fair value just gonna take out the high then it will take out the
165520	173800	low so this is what you can use to find your daily bias monthly bias weekly
173800	180080	bias you can use it as a model itself so you can see we use 15 minutes and one
180080	184240	minute combination then you can use the daily and one hour you can use the four
184240	188520	hour and 15 minutes combination and you can use the weekly and four hour
188600	192720	combination and for monthly you can use the one month and daily time frame
192720	201840	combination sorry for that so yeah that's literally about it for this let me see
201840	206280	if I can find some examples I mean I will find sample I was trying to find
206280	211200	examples in this video so I'll just pause the video and find the examples in
211200	214920	hindsight and then I'll let you know
