start	end	text
0	4120	Alright guys so in this video we are going to talk about risk management, this is one
4120	8360	of the most important things when it comes to becoming a profitable trader.
8360	12840	I've seen a lot of people, I've seen a lot of people mess this part up because they think
12840	17400	that strategy, your trading strategy is the only thing that's going to make you successful.
17400	22560	But in reality, psychology and risk management are one of the most important things when
22560	23560	it comes to trading.
23560	29360	So usually one of the biggest mistakes that I've seen people like is that they use different
29360	34080	lot sizes or different risk person for each trade.
34080	42560	So what they would do is they would risk one person for a trade and you know, the other
42560	45840	trade that they're going to take, they're going to risk two person, right?
45840	51400	And then the other trade, they're going to risk 0.5% and when they take another trade,
51400	54800	they're going to risk, I don't know, 2.5%.
54800	59480	Now that is a wrong approach to trading and risk management.
59480	65040	You should only be using one risk per each trade.
65040	67040	I don't care, right?
67040	68040	What you say?
68040	73440	I just want to see you use, if you're using one person, keep on using one person for each
73440	75880	and every trade, okay?
75880	82000	I do not want to see you use 2% for some trade or 0.5% for trade.
82000	87800	I mean, if you're using 0.5% for every trade, then go ahead and use 0.5% for every trade.
87800	93960	But if you are using 2% just simply use 2% for every trade.
93960	101920	Now you should never go up to like 2% personally because that is just risking so much guys,
101920	105440	especially when you are taking profit from challenges.
105440	107440	This is not the way to go for it.
107440	113920	If you have your personal funds, you can go up to 2% per trade, but it's just personal
113920	123920	preference and how much you are willing to risk, so just stick to 1% per trade or 1 specific
123920	128160	percentage that you're going to use for each and every single trade.
128160	132720	Because what happens is let's assume that you use 1% for 1 trade, right?
132720	139280	And you win it, so you have you are 1% in profit overall.
139280	146360	So the next trade, the right next trade, you take 2% use 2% in a trade and then unfortunately
146360	147520	you lose that trade.
147520	150120	So now you are in negative 1 balance.
150120	157520	However, if you use only 1%, you would be at break even, okay?
157520	166800	So that is something that you must know and must practice, I mean not practice, but you
166800	172640	should know that you have to only use one certain percentage for each and every single
172640	174360	trade that you are going to take, right?
174360	180880	If you mess up the numbers, even if you have a good win rate, you want to profitable.
180880	183320	So now here's the thing, right?
183320	184800	Let me do this.
184800	191520	Now a lot of people think that the strategy, the best strategy in the world is going to
191520	195040	make you win 80% of the time or 90% of the time.
195040	200200	The thing is, even if the strategy is good, you're going to have a losing period.
200200	204760	You can lose up to 6 trades in a row and I mean it, okay?
