start	end	text
0	3520	Hey guys, hope you guys are doing well.
3520	7160	This is the very first video of the course update.
7160	13760	In this video, I will teach you about different variations of autoblocks and how we can use
13760	15720	them.
15720	20680	In my last couple of videos on YouTube, you might have noticed that I've been using autoblocks
20680	22360	in a different way.
22360	26600	I'm not using it because they work better than the method that I've taught before.
26600	32760	I'm just using it because it's quite simple and it's good for my psychology.
32760	39160	So as you know, this is the old method, excuse me, so this is the old method, right?
39160	43560	You have lower, lower, lower, lower, lower, then you have a market structure shift, right?
43560	50000	And you have a free body gap here, as I have denoted here, as you can see, free body gap.
50000	58240	So most of the time we use the first candle of the free body gap as our autoblock, right?
58240	62400	You guys must know that because I have taught this before in my course videos and as well
62400	64240	on YouTube.
64240	69920	Now this right here is you have lower low, lower high, lower low, and then market structure
69920	70920	shift.
70920	78720	And now these consecutive bearish candles are your autoblock or is your autoblock, right?
78720	84640	So over here you can see we have used the first candle of the free body gap as our autoblock.
84640	89800	Over here you can see we have lower low, lower high, lower low.
89800	98040	So this consecutive candles in this last lower low before market structure shift is your autoblock.
98040	108480	Now nowadays for autoblock strategy, I'm using this as my autoblock, you know, and for
108480	110880	other strategies I use this.
110880	115240	Now what are the pros and cons of both of these methods, right?
115240	118720	This right here is a refined autoblock, okay?
118720	121200	And this is not a refined autoblock.
121200	126320	You are going to miss entries when you are going to trade this autoblock, okay?
126320	130600	So let's say price comes back into this level.
130600	132440	It's not going to happen all the time.
132440	138800	Whatever the chances that price comes back and mitigates this autoblock right here and
138800	144600	then goes back up is higher than the chances of this autoblock, okay?
144600	149560	You're going to have a greater risk reward when you take your entry from this level,
149560	153280	from this autoblock, and you're going to have a lower risk reward if you take your entry
153280	154280	from this.
154280	155880	So I take my entry from this.
155880	160360	Another thing, when you have this type of autoblock, the fair value gap is not necessary
160360	162120	in this leg, okay?
162120	167360	All you need is these consecutive candles, or it could just be a single candle, okay?
167360	169720	It could just be a single candle like that, okay?
169720	175480	It doesn't have to be one or two, but if they're like, let's say, as I said before, if they're
175480	180960	like two candles like that, yeah, then that could be, you can take your entry from here
180960	185080	or if you want to refine it, of course you can take it from here, but it is going to
185080	191040	decrease, it's going to decrease the chances of you getting triggered in the trade, okay?
191040	195040	So now here's the high probability setup for this setup right here.
195040	201840	When you have like a breaker block in alignment with this autoblock, that is a high probability
201840	203240	trade setup.
203240	204240	What is a breaker block?
204240	209640	You have lower low, lower high, lower low, the candle over here, the first candle of
209640	212920	this lower low, you know, it's going to be here.
212920	217920	If it is in alignment, let's, the size is the same, right?
217920	221760	And that, to me, is a high probability setup.
221760	225560	And then what's going to happen, price is going to tap into this autoblock and you're
225560	228000	going to have a push like that.
228000	232360	The reason why I go one to two with this type of setup is because you don't want to trust
232360	234840	the price to keep going higher, okay?
234840	237960	I just take my one to two and then I'm out the markets.
237960	241360	This right here is a refined entry.
241360	245960	So when you get an entry from here, that is like, it's going to give you more risk reward.
245960	247960	That's really that simple.
247960	248960	Yeah.
248960	251560	So, yeah, that's about it guys.
251560	253440	So you can use both of these autoblocks.
253440	255920	You don't have to be confused about which one to use.
255920	258680	It really comes down to your style of trading.
258680	264240	I am mostly trading this autoblock nowadays and this is what ICT teaches, this consecutive
264240	267960	bearish candles or a bearish, last bearish candle before the move to the upside that
267960	269960	breaks the structure.
269960	270960	But it's really up to you.
270960	272520	This one works as well.
272520	277960	And this is what I've been trading like most of my life and it works absolutely well.
277960	279720	Only downside, you're going to miss trades.
279720	283640	So it's really up to you now if you want to trade this one or this one.
283640	285120	This one has one pro.
285120	287280	You don't need to see a fair value gap, okay?
287280	290440	You can simply trade off this level, okay?
290440	294360	So what I'm going to do is I'm going to give you a couple of examples of this thing right
294360	295360	here.
295360	296360	You guys already know this, right?
296360	300600	So I'm going to give you an example of this one, this autoblock example.
