start	end	text
0	5480	All right, so here is the example. Okay, if this is just for example, I don't know the context behind this move
5480	12280	I'm just showing you that that how it can work. Okay, so you see we have lower low lower high lower low, okay
12360	15280	So now these consecutive bearish candles are
15920	20360	In alignment with this breaker block. You can see that right
22040	28680	The body the size of the bodies is the same here, okay, and then you can see that we
29440	31200	Have a push down
31200	33680	so these are consecutive bearish candles because
34840	37840	This bearish candle did not take out the low here
37840	42800	So if if this bearish candle took out this low then that would be my auto block
43640	47120	Okay, and this green candle would have become a breaker block
47720	53240	Do you understand what I'm trying to say here? So as you can see we had there the setup here
53240	58600	We could have taken our entry from this level put our shot right below the slope and went for one to two or
59160	61160	For this high over here
63200	70440	It's really all that guys like simply you can take your entries see if you use the old method
70600	75960	Right remember the first candle of the fair valley gap, which is right here. You would have missed your entry guys
76320	78960	So this is this is what I'm trying to teach you in this video
79880	82400	Okay, you must know
83520	89120	You must have like a plan you have to choose one model entry model, okay?
89120	96160	You either stick with the the old method or the new one. It's really up to you. Okay, so
98840	100840	Yeah, guys, I'll see you guys in the next video
