start	end	text
0	5840	All right guys in this video. I will teach you how to use statement deviation projections
7400	10480	Sand deviation is a very very powerful tool you can
11280	13120	mayor your
13120	15600	Accumulation phases actually not the accumulation phase
15600	21120	But you can mayor the manipulation phase and then you can also mayor the expansion phase
21520	24860	And then you can make your reversals or continuations
25960	27960	this is very very powerful and
27960	29720	and
29720	33720	We we use this with a power of three. So
35000	42280	Remember one thing that every single candle has a power of three. It's gonna have accumulation manipulation and distribution
43160	45480	Whenever you see a candle, it's gonna have a wick
46280	52120	Right either to the one side or both sides. So it's gonna have a wick here could have a wick here
53080	55080	Right. So let's say this was the opening price
55640	60520	Price manipulates to the upside and then expands to the downside. So that is called power of three
61080	64920	Now what if I told you that by standard deviation projections, you can mayor the
65640	68680	Manipulation so you will know where the manipulation phase ends
69560	72360	And you will also know where the expansion ends
72920	77880	So you can look to take both trades or you can look to take the trade after
80520	83480	The manipulation now keep in mind that
85320	89480	We trade this with auto flow. So if the auto flow is bearish
90200	91160	we
91160	93160	are primarily want to see a
93960	101080	Manipulation to the buy side liquidity. So I want to see price go up manipulate and then expand to the downside
103240	110600	So when you you combine auto flow with this then your win rate will significantly improve. So what exactly is standard deviation
111160	112200	right
112200	114200	so let's assume that
116040	118040	and also
118440	123880	I personally use this with power of three, but you can also use this with key levels. So
125640	131480	This could be let's say that there is a key level here could be a hard time from auto block
132040	137400	Right could be a friendly gap and price goes into your
139960	141960	Key level
142440	144440	And then gives you a market structure shift
147240	153160	Now to mayor where the price is going to go from here what you can do is use your Fibonacci tool
154440	156440	Use from the top
157480	161240	To the high so use it from the last high
161880	166520	To the last low that was formed before market structure shift
166920	168920	Now
168920	175240	Let me turn on some numbers here. So it's gonna be one one point five
176680	178680	And this should be okay
180360	186520	So this is the key level price goes into the key level gives you a shift in the market structure. So now
189080	195400	Look at this negative two and negative two point five percent level also make sure you copy all these numbers, okay
196600	199560	Keep your focus on the negative two and negative two point five
201480	204200	So I think let's just do this like that
209400	211400	Okay
211960	213960	so
215720	217800	The negative two and negative two point five remember that
218520	221960	Look at the liquidity level below the negative two level
222920	230200	What is a significant liquidity pool? It could be a low could be a high so this is negative two below that
230200	232200	But do we have this?
234200	236200	Liquidy level
237720	244040	This is going to be your final target level if that makes sense so you will be taking your entry
244840	249240	From the fairly gap whatever is presented to you or order block
250200	254920	And you take your take profit level once this liquidity pool is hit
255800	256920	or
256920	258920	Just to be even safer
259640	265720	What I sometimes do is I take my profits at the negative two line. So this over here
266280	268280	Now this level here
268600	270920	Is from where price is going to reverse?
271720	279320	Okay, so whenever this level inside this level price can reverse from this level, okay
280760	287400	But if there are targets that are not met if if the price has some business that is left out
287720	293160	So in this scenario, it is this liquidity level most of the time it's going to take out that liquidity and then reverse
294280	299160	Now price can also expand even further to negative four level
299960	305800	Okay, and this happens when there is a significant target for price to achieve so there could be
306440	310600	You know a higher level of liquidity pool down there near this level
314520	319240	So price can take out this level here as well
320520	326040	But mostly price will reverse from the negative two and negative two point five level
329880	335560	Now let's talk about the silver bullet zones so negative one and negative one point five
336200	338200	inside this level
338760	346840	So once you get like a market structure shift and an entry now if you don't want to enter directly from here
347880	353800	To increase your win rate once price hits the negative one and negative one point five in between here
354600	358520	It should not go below the negative one point five level inside this box
359400	361400	price goes into this level
362440	363480	And
363480	368840	Once it does that you mark out any PD array that is there so it could be a fairly gap here
369240	371560	Could be a breaker block could be an auto block
372920	374920	Once you take your entry
375320	378200	Price will rush towards the main target
379240	383480	That is why it is called standard deviation silver bullet entry
384440	389880	Also when price goes into this level it significantly confirms
390600	394040	That price will not head head towards the main target
394840	400440	So ideally I will not hold till negative four because it is very risky
401720	406040	I will just take my profit at negative two or if there's a closed target
406360	412200	So there could be you know a liquidity level below the negative two which could be just right around here or it could be here
413160	416120	Once price does take that out. I'm out of the trade
