start	end	text
0	6840	Alright guys, so in this video, I will teach you the ICT silver bullet trading strategy.
6840	12520	On my YouTube, I have already uploaded a video on this topic, but it is not like in detail.
12520	16100	But in this video, I'm going to explain each and everything in detail and how you can trade
16100	19600	it to make profits, if that makes sense.
19600	25080	Okay, so what ICT exactly says, listen to this very carefully.
25080	36000	He says that before 10am, New York time, look for a liquidity that has been swept, okay?
36000	49920	So before 10am, look for liquidity that has been already swept, right?
49920	55040	Before 10am, look for liquidity that has been already swept, okay?
55040	62040	Now once you identify the liquidity that has been swept, you want to identify liquidity,
62040	64560	right?
64560	69160	That has not been swept yet, okay?
69160	77600	So let's say that, okay, one minute, you have buy site here and you have sell site here,
77600	78600	right?
78600	84880	So this is buy site liquidity and this is sell site liquidity, okay?
84880	90720	So let's say before 10am, you see that price has taken out these equal highs over here,
90720	91720	okay?
91720	96360	So now price could be going up, you know, could be consolidating, what not.
96360	111480	But after 10am, right, after 10am, look for market structure shift with displacement
111480	115160	on one minute time frame, okay?
115160	126280	So let's say the clock hits, let me go here, the clock hits 10am right here, so 10am, yeah?
126280	131000	Now you want to start looking for market structure shifts, okay?
131000	136280	So let's say you get a beautiful displacement, okay?
136280	139000	Like that.
139000	145400	Now ICT says you mark out the frame of the gap, you take your entry, you put your stop to
145400	147960	five handles, okay?
147960	153280	Five handles on Emani S&P, it's going to be somewhere around it, I'm going to teach you
153280	154440	what it means, okay?
154440	158320	But for now, he says your stop loss goes to five handles and you take profit goes to
158320	159320	five handles.
159320	163680	So basically, he tells us to aim for one to one.
163680	167160	Now that in my eyes is very low, okay?
167160	171880	But it has, he says that it has a probability of around above 80%, okay?
171880	174080	So you're going to win most of the time.
174080	182280	However, what I've noticed with my back testing is, is when you can simply go for one to
182280	187520	two, that is the perfect risk to reward ratio for the strategy that I've found back
187520	189320	testing, okay?
189320	193820	And when price goes to like one to one, you go break even.
193820	197580	So when price comes back to one to one, you go break even.
197580	200320	So here are some key things that you must note.
200320	205680	So let's say there's like a significant low here or maybe here, you know, a significant
205680	207040	one, okay?
207040	211360	And price takes out that low before coming back to your entry.
211360	213360	Then you have to be cautious, okay?
213360	218160	Because price has already taken out sale site, it could just go back up again.
218160	220520	You want to identify.
220520	223280	So let me give you this little example here.
223280	227920	So this is external market structure, right?
227920	236120	And inside this, you're going to have like this low, low, low, high, low, low, low, low,
236120	238160	low, low, low, low, low, low, okay?
238160	242240	So you want to look for market structure shift of internal market structure, okay?
242240	244120	You do not want to look for this.
244120	248880	If price comes back and takes out this low here and then comes back to your entry, do
248880	249880	not take that.
249880	250880	Okay?
250880	253520	It's not going to work out.
253520	258360	You must identify the internal market structure, which is this, this right here on the one
258360	259360	minute timeframe.
259360	263960	You look for a market structure shift happens right here with displacement, take your entry,
263960	269560	go for five handles and or just put your stop at the high over here and go for one
269560	271560	to two.
271560	277240	So let me, let me show you what I mean by handles, right?
277240	279560	Let me go to futures right here.
279560	280560	Okay.
280560	288400	So let's say that your, for example, okay, let's say your entry is at the close of this
288400	289400	body.
289400	290400	You put your entry here.
290400	294840	Now notice this number right here stops 3.50, right?
294840	302160	It shows 3.50, you move it to five and that is your five handles stop loss.
302160	307640	You go for one to one, that is your five handles, take profit.
307640	318400	So let me give you guys a couple of examples and then we will move on to the next topic.
