start	end	text
0	4480	Alright guys, so here is the example number one for the ICT silver bullet
5400	7400	you can see that
7880	14160	Over here we do not have a clear liquidy sweep anywhere and the time is 955 right
14240	19360	So we're gonna wait for this for the price to either take out the buy side or the sell side
21520	24680	So you can see price took out the sell side here
24680	29740	So now here's the thing price can take out liquidy even when even after 10 a.m
29840	34820	Okay, there is no like rule that the liquidity sweep must happen before 10
34960	38240	Okay, the thing is your entry must only be after 10
38720	43400	So it has taken out the you know the sell side. Let's go back to one minute and
44200	46200	Look for a clear
46400	48400	market structure shift and
48400	53440	As you can see right here what we do have is a lower low lower high lower low
53480	57880	Right and then over here we have a shift in market structure now
58480	60480	This I consider
60480	65240	Internal market structure and this right here would be my external market structure
65240	68960	Okay, so let's say a price takes out this significant high over here
69280	75360	Then the chances of that trade playing out is gonna be decreased. I want these tiny structures to break
75360	80640	Okay, I do not want want this like a significant structure to break because if that breaks in my eyes
80680	88320	That is a liquidity sweep especially when we're looking at one minute time from so now what we do have is a favorably gap right here
89400	91640	Okay, and my entry would go here
91960	97160	so let's say that we put our stop at five handles right here and we go for
97560	102000	five handles take profit, right and the time is 10 36 and
103520	110120	Your entry must not be later than 10 50 10 50 a.m. Okay, so your window the trading period is
110800	112800	10 a.m
113040	116360	Oops 10. Oh my god
117480	119480	10
119480	120840	50 a.m
120840	125280	All right, so your entry must happen during this time window, okay?
125680	131120	And you must close your trade before 11. Okay, so we have our entry and let's see how this plays out
131160	137280	We go back in a little draw down here and then look at that we push back up right away
137320	140600	So that take profit was it however if you held your trade
141240	145760	Till this level you can see we would have gotten one to two risk to war trade
147600	153440	So it needs some sort of practicing and then you can master this strategy
153840	156920	Remember this is very important part here
157360	164840	When a significant structure something like that if it breaks and then it comes back to your entry that is a low probability setup
164840	172040	I want so let's say you have a liquidity sweep, right? This is a little receive. I want this tiny structure something like that, okay?
172880	177800	Not something like this where you have like three four or let me give you another example
178000	185080	That's right here if that breaks right that is invalid. I want to see a break of structure something like you know
185920	187920	this over here or
188240	195760	Maybe you see lower low lower high lower low something like that. That is prime market structure or this is the best example
196280	200360	Right here, okay. You see this tiny structure here lower low lower high lower low
200360	204840	I do not want to see this structure break and then I wait for my entry that is invalid
204840	209680	You can see that we broke the structure and we filled in this very valley gap and then we went down
210680	217000	Because this is liquidity guys a lot of people what they do is they consider this as the low and they consider this as
217400	223320	You know market structure shift. No, that is a liquidity sweep. Okay, just open your eyes, bro
223920	227560	So right here we hit one to two. Let me give you guys another example
