start	end	text
0	20000	All right, guys, so this is how I personally use quarterly theory as a as a standalone model, or I can use it with other things as well. So, when do we want to look for manipulations and when we want to look for expansion.
20000	40000	So, when you are on the intraday chart, so this is going to be 15 minutes, you will have, of course, you know, accumulation, then you're going to have manipulation, then you will have distribution, and then you will have continuation.
41000	61000	Right. Now, you want to focus on the manipulation part here. Okay. So, as I said before, you will have then quadrants. So there will be, you know, accumulation inside here, then manipulation and vice versa. Right.
61000	71000	Now, in the manipulation quarter, which is this, right, let's remove this so you don't get confused. So remember, in each quarter, there are going to be four quadrants.
71000	81000	So in accumulation quarter, you're going to have four quadrants that will be accumulation, manipulation, distribution and continuation. All right.
81000	94000	Now, we want to focus on the big, the quarter, right? We do not want to focus on the quadrants at the moment. Now, inside the manipulation quarter, we have to focus on the manipulation quadrant.
94000	105000	Okay. So, this is, you have to understand this carefully, guys, because this is the only possible way to explain this.
105000	116000	So, inside the manipulation quarter, you're going to have, you know, accumulation, manipulation, distribution, continuation, you want to focus on the manipulation part.
116000	127000	So, inside a manipulation quarter, you have to focus on a manipulation quadrant. Now, that is clear. Now, let's go here.
127000	134000	So, let's say that the order flow is bearish. Okay.
134000	140000	Now, when the order flow is bearish, of course, we want to take short positions.
140000	151000	Now, during the manipulation phase of the manipulation quarter, you have to look for a liquidy sweep.
151000	165000	So, inside a manipulation red box, or you could say a manipulation quarter, you have to look for a liquidy sweep during a manipulation quadrant, if that makes sense.
165000	173000	So, this is going to be right here, right? Once you have a liquidy sweep, you then have to look for a market structure shift.
173000	184000	Okay. Now, this could be either on a lower time frame. So, for example, if you're looking at this on the 15 minute time frame, you can then drop down to two minutes time frame or one minute time frame to look for a market structure shift.
184000	195000	However, I highly suggest you stick to the same time frame. So, that's going to be 15 minutes time frame, then you look for a shift in market structure, and then you can look to take your entry.
195000	202000	Similarly, if you have a PD array, so there's could be a, you know, an auto blog here.
202000	215000	So, we swept this liquidity before, but then we have a fair value gap, price can manipulate into that fair value gap, because remember, fair value gap on a lower time frame is also a liquidity level.
216000	220000	Refer back to internal and external liquidity videos, and then you will understand.
220000	230000	So, price can also go into the PD array without sweeping liquidity, but in this case, it swept liquidity and went into the fair value gap.
230000	233000	So, that is also acceptable. Okay.
233000	245000	But I prefer you look for liquidity sweeps, because that you will be like satisfied that, okay, you will not be in fear that, okay, if I take my entry from this fair value gap, price can maybe go ahead and take out that high.
245000	251000	So, I suggest look for liquidity sweeps. So, right here, we have liquidity sweep, and price also went into the fair value gap.
251000	255000	You look for a market structure shift, and then you can take your entry.
255000	263000	Now, the price will distribute lower during the distribution phase, right?
263000	269000	And then it can reverse during the reversal quarter, okay?
269000	272000	So, this is very, very simple guys.
272000	276000	If you understood what I said in this video, I'll repeat this again.
276000	279000	So, remember, we have four quarters, right?
279000	284000	We have accumulation, manipulation, distribution, and continuation.
284000	288000	Now, inside each quarter, we're going to have four coordinates.
288000	295000	So, in a accumulation quarter, we're going to have accumulation, manipulation, manipulation, distribution, and continuation.
295000	299000	In the manipulation quarter, we're going to have four coordinates as well.
299000	307000	That's going to be accumulation, manipulation, distribution, and continuation, it goes on with these two as well.
307000	312000	Now we wanna look for a manipulation inside a manipulation quarter
312520	317120	during manipulation quadrant, if that makes sense, okay?
317120	320080	So the manipulation quarter is gonna have four phases.
320080	322100	We're gonna have to focus on the second phase,
322100	325600	which is the manipulation phase of the quadrant.
325600	326440	During that phase,
326440	327880	we wanna look for a liquidy sweep
327880	331000	or a push to the PDA red,
331000	332240	that could be fairly gap,
332240	334120	breaker block, autoblock.
334120	336480	Now please note that we have to trade this
336480	338000	with the high time frame trend
338000	339520	or high time frame autoflow.
340480	342520	Without that, you are just basically taking
342520	346400	random liquidy sweeps, and this might not work for you.
346400	348320	So understand that identifying the autoflow
348320	349200	is very important.
349200	350520	To identify autoflow,
350520	352160	all you have to do is come onto the chart,
352160	353560	look at the high time frame,
353560	355400	and if you see that the price is going down,
355400	356960	you will instantly know the autoflow.
356960	359040	You will know that, okay, price is going in that direction,
359040	361840	but if you're confused and you can't identify the autoflow,
361840	364000	you're confused if it's bullish or bearish,
364080	366440	then it's best to avoid that pair or asset.
367600	370080	So that's pretty much it guys for this.
370080	373120	You don't have to focus on anything else.
373120	376120	Although there's another strategy that I use with this,
376120	379520	so let's remove this.
380680	383520	You can use this model as well.
383520	385600	So inside the accumulation phase,
385600	387320	you will mostly see consolidation.
387320	389360	So you will have a high of the accumulation phase
389360	391680	and the low of the accumulation phase, right?
391680	393800	Now during the manipulation phase,
393800	397560	what you can do is look for a purge of either the high
397560	400080	or the low of the accumulation phase.
400080	402720	So this is the high of the accumulation phase, right?
402720	404240	This around here.
404240	408120	Now during the manipulation quarter,
408120	411440	look for a sweep of either the high or the low,
411440	413520	and then you can look for a shift in the market structure,
413520	416560	take your entry and you can target the low
416560	418640	of the accumulation phase.
418640	421560	So let me give you guys some examples about
422400	424600	how I use this in the real life market
424600	426520	and then we'll move on to the next chapter.
