start	end	text
0	8120	All right, guys, so here is example number one. So if you are confused, what is this? This is an indicator. So go to indicators type in
9360	11280	quarterly
11280	12360	cycles
12360	18240	By this theory and this is by alt many it has one four eight zero reviews
18640	23080	Once you have that you can go ahead and copy my settings
23080	29160	So it's gonna hide I disable these and I also disable the labels to make the chart clean now over here
29160	36820	What do we have we you see these big boxes and then we have small boxes so the big boxes are the
37200	40760	Quarters and the small boxes are the quadrants in each quarter
42280	45240	Now the auto flow is clearly bearish here
45240	49340	We broke this structure went down broke this structure and went down
49920	57080	Now focus on the red box and the red quadrant here if I zoom in a bit here what you can see is we have
59160	62300	a sweep of this high over here
63080	67140	This is a liquidity perch right we slightly went above
67800	72940	Here, but we didn't take out this but we took out this liquidity here. So that is important
73680	78140	After we took out the liquidity what you can see is we have a shift in the market structure
78680	81320	during the expansion phase of the
82080	83960	quarter
83960	87080	Now what we do have here is an auto block
88040	92880	And price as you can see during the expansion phase during the
93680	100060	Manipulation phase of the expansion quarter. So the red box of the expansion or you could say distribution
100720	102720	We went into the PDRA
103320	107760	So this could have been your entry and you could have targeted somewhere around here
109200	113020	So a very simple trading strategy guys and
113800	115800	Oops my bad
116520	118280	Right there
118280	122600	So if I go in somewhere around here
124000	128600	All right, perfect. I think this should be example number one. Let's move on to the next example
