start	end	text
0	4520	Alright guys, so here is example two. You can clearly see that we had a bearish candle on the daily
4840	8240	And we just slightly closed below it as you can see by here
8680	15280	So now our red draw on liquidity is going to be this daily low around here. So now if I go to the five minute time frame
16840	18840	Right, this is
18960	20960	Currently the load that I have marked out
23360	26080	So now we're gonna wait for the Asian session to start over
26080	34680	Remember this is our draw on liquidity, right? So now we're gonna be taking shot position with the air 50 model
37400	42600	So just around here, which you can see at two we have the Asian session low and
43160	49560	The Asian session high over here and we close to blow it. So now we're gonna take our Fibonacci tool
49560	54120	you're gonna use from the high to the low of the Asian range and
54600	56600	And that's gonna be this level
56760	62320	It's a 0.5 level that is from where we're gonna take our entry put our shop right above the
62920	64920	Asia high and
64920	71200	Our draw on liquidity is gonna be this low here. So let's move this and let's see how this plays out
73640	75640	So we get our entry
75640	86120	Remember this is our draw on liquidity and look at that beautiful movie downside giving us 4.75 restore what ratio
87440	93520	So this is basically how I trade the the air 50 with bias
93520	97800	Of course, I use the external and internal liquidity method as well
98240	103880	But this method I think you should be using this because it is easy and it should not complicate things
104840	108040	This is gonna be it. Thank you so much guys for watching the entire course
109880	112880	This is gonna be it for the course updates in the future
112880	119280	I'm gonna release something else but for now this is gonna be it and I'm not gonna upload anything else in this course specifically
119960	126040	Because I do not want to give you guys so much information that you just lose yourself and a loophole
127800	130240	Once again, thank you and good luck
