start	end	text
0	8080	Alright guys, so this is a brand new course and every week there will be a new chapter
8080	13760	that's going to be released in the Discord server.
13760	20440	And in this very first chapter, I'm going to teach you guys about the Monday range.
20440	24800	It is a very good model with high win rate.
24800	34440	It works on Gold, NAS100, EuroUSD, GBP, USD, okay.
34440	43480	So essentially what we're doing is we are marking out high of the Monday and low of
43480	44480	the Monday.
44480	54080	So let's assume that this candle on the daily time from is the Monday candle and it closes.
54080	63360	So we mark out the Monday high and the Monday range low, okay.
63360	72680	Now on Tuesday, we want to see price take out either the swing, sorry, the Monday high
72680	76080	or the Monday low, okay.
76080	82360	So let's assume that on Tuesday, the low is taken out.
82360	84240	The low of the Monday is taken out.
84240	89320	What we want to do is we want to simply drop down to 15 minute time frame.
89320	92840	So we'll drop down to 15 minute time frame.
92840	96720	And then we're going to look for a market structure shift, right.
96720	101520	And we're going to take our entry and we can target the Monday high or we can take our
101520	108320	profit at the 50% of this Monday range, right.
108320	112440	So we can take our profit somewhere around here or we can simply go for one to two.
112440	120200	Now key thing to note is that you should get your market structure shift during London
120200	127000	session because let's assume that you get your market structure shift during Asian session.
127000	131200	Now this will then become the Asian session low.
131200	136160	So there's a chance that price will take out the Asian low first and then give you another
136160	140440	market structure shift and move towards the Monday high, okay.
140440	142360	So remember this one thing.
142360	150000	We are looking for market structure shift during London or New York session.
150000	156240	If the market structure shift occurs during the Asian session, right, then we have to
156240	161320	keep the Asian range strategy in the first course in our mind.
161320	163680	And we have to think about it logically, right.
163760	167920	As if we get the market structure shift during the Asian session, we can expect the price
167920	172560	to take out the Asian low first and then move towards the Monday high.
172560	179080	So similarly, if the Monday candle high is taken out first, we're going to drop down
179080	182720	to the 15 minute time frame, right.
182720	185800	And then we're going to look for a market structure shift and then we're going to look
185800	190040	to take our entry from the Fair Valley gap or an auto block and we're going to target
190040	193320	the Monday low.
193320	195000	Very simple, okay.
195000	201200	So to increase the probabilities, we can do is look for SMT divergence.
201200	206840	It is not necessary, but what it's going to do is it's going to confirm, you know, the
206840	212280	momentum, but it's not necessary and it requires, this model requires no delay bias and this
212280	217960	is like a one trade per week setup and it has a very high event rate.
217960	222880	So if you are someone who has, you know, a 95 job or you just busy with your family
222880	226920	or whatnot, right, you can just take one set of per day and make a living.
226920	232520	So I'm going to give you guys some examples and then I'll be back next week with a new
232520	233520	chapter.
233520	235480	Okay, guys.
235480	240000	So here is example number one and you can see this is the Monday candle and that close.
240000	245880	So all you have to do is mark out the Monday candle high and the Monday candle low.
245880	250480	You can see that on Tuesday, the low of the Monday candle was taken out.
250480	261000	So if I drop down to 15 minute time frame, right, this is the Monday low, right, and it
261000	268120	was taken out first and we have our Monday high over here.
268120	271480	So you can simply see that what happened.
271480	279080	We got a market structure shift, right, of during the kills and ours and then you can
279080	286800	see that we had this breaker block and afterwards price tapped into this and it just flew away.
286800	292840	Now of course, this is hindsight, primarily you want to be taking, trying to take your
292840	296680	entry from the auto block, right?
296680	303160	But since the range was so big, you want to get into the trade as soon as possible.
303160	308040	So for example, even if I took my trade here, right, I put my stop somewhere around here.
308040	312120	This would have easily given me around 3.5 one, okay?
312120	316920	The general rule of thumb, a very good rule of thumb is that you always go for one to
316920	318560	two risk to reward, right?
318560	323120	And all of us go break even after one to one is hit.
323120	327040	So that was a very clean example.
327040	330160	Let's move on to another example now.
330160	335400	Okay guys, so in this example, you can see that I've marked out the Monday candle high
335400	337720	and the Monday candle low.
337720	340720	So you can clearly see how well this played out.
340720	346920	So I'm going to drop down to 15 minute time from here and if I zoom out a bit, you can
346920	352280	see that the Monday low was here and it was taken out on Tuesday.
352320	358240	And simply what we would do is we would look for a market structure shift and that happened
358240	360360	just around here.
360360	364440	Now if you see this, that we were outside decals and ours.
364440	369800	Now you could have taken your entry from this break of block here, right?
369800	374360	But eventually what I would do is I would wait for the next day and the next London
374360	378120	session to start and then I would look for a liquidity purge.
378120	386080	So continuation purge in the first course, right afterwards we have a break in the structure
386080	393400	then we have the auto block here and you can see the beautiful delivery to the upside,
393400	398040	taking out the Monday candle high.
398040	400040	Let's move on to another example.
400040	403240	All right guys, so here is another example.
403240	407200	This is going to be a different example because I'm going to show you a loser and I'm going
407200	413640	to also show you that as long as you have, you know, your idea, right, you can still
413640	416080	get re-enter into the trade.
416080	422200	So over here you can see we have the Monday high and the Monday low, right?
422200	430440	So if I go to the 15 minute time frame, you're going to see that the Monday high was taken
430440	431440	out first.
431440	434480	So what we were doing is looking for a market structure shift.
434480	442520	So over here, what we had, we had the Asian session high taken out and somewhere around
442520	448920	here, we had a market structure shift and now we did push up, we did mitigate this auto
448920	454920	block and then we did go below it, but price had another push up, right?
454920	459560	And then afterwards, we had a shift in the market structure over here, right?
459560	460560	And over here.
460560	467400	So then we had this auto block here and you can see the beautiful tap and you can see
467400	471320	how price delivered by taking out the Monday low.
471320	475080	All right guys, so here is another example.
475080	476480	This time looking at gold.
476480	482200	So you can see on Monday, we have a Monday high and the Monday low.
482200	486680	So now you can see that price first took out the Monday low and then went up ahead and took
486680	487680	out the Monday high.
487760	494200	So if I go to the 15 minute time from here, you're going to see that on Tuesday, we had
494200	497400	a purge on the Monday low, right?
497400	499920	And that's what we want to see afterwards.
499920	505440	What do we have is a, if you see, look closely, this is a high, right?
505440	507000	So this was broken.
507000	512320	And then what we are simply doing is taking our entry from the breaker block or a fair
512320	513320	valley gap.
513320	519120	So you can see that we have this fair valley gap and the entry was perfect right here.
519120	524320	And you can see that the draw on liquidity was taken out.
524320	527940	So you can see that we had a push up.
527940	531840	You could have gone break even at somewhere around here, right?
531840	538240	After these highs were taken out or at one to one and this would have a break down perfectly.
538240	540200	So let me go because one more example.
541200	542200	All right.
542200	543200	Guess.
543200	544200	So here's the last example.
544200	547640	You can see that we have a Monday candle, the Monday high and the Monday low.
547640	550840	So you can see that the Monday high was taken out first.
550840	556880	So if I go to the 15 minute time from here, you can see that I have marked out the Monday
556880	559160	high over here.
559160	562120	And on Tuesday, the Monday high was taken out.
562120	565360	So now we're looking for a market structure shift.
565360	569240	The market structure shift happened just around here.
569240	573180	And then what we have is a consecutive bullish candles to the upside.
573180	578360	This could be your entry level, right?
578360	584320	So a short position just right here, stop right above here.
584320	591440	And you can see that the take profit was easily hit.
591440	593840	So that is it for this chapter guys.
593840	597080	I really hope that this works out for you.
597080	599760	There are a lot of more models coming up.
599760	604080	I can't wait to show you guys, but I'm going to keep it slow.
604080	609200	One model per week because I want you to get familiar with every single model and I want
609200	614400	you to practice every model because at the end of this brand new course, you're going
614400	615400	to thank me.
615400	616400	Okay.
616400	619520	So just keep watching, keep back practicing and keep back testing.
