start	end	text
0	3480	All right, so let me show you some examples on the real chat.
3480	6120	So let's suppose that we are in a downtrend
6120	9680	and then we are looking to identify market structure breaks.
9680	12640	Okay, we are looking for market structure breaks.
12640	16880	Okay, so as you can see, price made a new lower low,
16880	21880	lower high, lower low, lower high, lower low, lower high,
22320	27320	lower low, lower high, and then lower low,
28160	31200	made another lower high,
31200	34240	then we made a lower low once again.
34240	36880	So now this type of market structure
36880	41880	is considered to be a market structure break, okay?
43520	47000	When price continuously makes new lower lows
48040	50800	and the trend is continuing,
50800	54640	that is considered to be a market structure break, okay?
54640	58320	So as you can see, right around this level,
58320	59360	price broke through it,
59360	61800	that is considered to be market structure break,
61800	65240	then we pull it back and then price broke through
65240	67000	that previous low low,
67000	68720	and you can see that this is considered
68720	71000	to be market structure break as well.
71000	74240	Now what is market structure shift?
74240	77540	So as you can see that we were continuously making
77540	80800	lower lows, lower highs, lower lows, lower highs,
80840	85840	but then we made a higher high, higher low, and higher high.
87240	88840	Now this is considered to be,
90760	93800	now this break right around here,
93800	97160	when price breaks through this level,
97160	99840	which is the previous low,
99840	101840	we made a lower low, lower high,
101840	104840	lower low, lower high, then lower low,
104840	107040	and then price reversed,
107120	111600	breaking the previous low of the bearish trend.
111600	116600	Now this is considered to be a market structure shift.
117600	119960	Very, very easy guys.
119960	122720	I hope you understood what I thought you guys.
122720	126960	So this is considered to be market structure shift.
126960	130280	So I hope this is clear,
130280	131640	and as you can see,
131640	134320	the price has continued up for a bit,
134320	136800	but then it made another, as you can see,
136800	139760	price made another market structure shift.
139760	143360	So we made a higher high, higher low, higher high,
143360	148360	and then we created this lower low, lower high,
148360	152600	and then lower low, lower high, lower low.
152600	156280	Okay, so you can see how we identified the markets.
156280	158800	Now this was, this move right here,
159720	161680	when price broke this level,
161680	165360	then it is considered be a market structure shift.
165360	167080	So I hope this is clear now,
167080	169040	and I'll see you guys in the next video.
