start	end	text
0	6900	Alright guys, so here is a brand new chapter of the course and in this chapter I'm going
6900	13380	to be talking about the session highs, lows and SMT.
13380	19980	So the SMT that occurs at the highs and lows of the sessions are extremely powerful and
19980	27060	by keeping that in mind, we can frame our trades whenever a setup is presented to us.
27060	34500	So I'm looking at NAS100 and US30 because both of them are correlating assets.
34500	47100	You can similarly look at your USD, GBP, USD, AUD, USD, NZD, USD, AUD, JPY and NZD, JPY
47100	51460	and your JPY and GBP, JPY, right?
51460	57360	So you can also look at S&P 500 but I'm looking at NAS100 and US30, right?
57360	66100	You can look NAS100, US30 and S&P 500, three of them at once to look for the setup.
66100	74140	So I'm going to mark out the high of the Asia session and low of the Asia session on NAS100
74140	78580	and similarly I'm going to mark out the high of the Asian session.
78580	84700	This is the high right here and low of the Asia session, right?
84700	86900	So what do you notice here?
86900	88980	The very first thing that you see.
88980	99860	So on NAS100, we failed to take out the Asia low but on US30, on the fifth, so the time
99860	101100	firm is very important.
101100	108380	We have to stick to this time firm but on US30, we took out the Asia low, right?
108380	112460	So notice this low here and notice this low here.
112460	115980	We have SMT divergence.
115980	122620	So you have to trade the one that did not sweep the liquidity.
122620	123620	Why?
123620	126940	Because this is a stronger pair, right?
126940	134580	The reason why NAS100 failed to take out this low is because the bullish momentum on NAS100
134580	141900	is stronger but on US30, it is weaker because we drop down and we took out liquidity, right?
141900	148580	Now you can trade both of them but you primarily want to trade the one that did not sweep liquidity
148580	152060	because it is showing bullish momentum.
152060	154780	Now there are two ways to look for your entry.
154780	158700	The number one and easiest way is to look for change in the state of delivery and what
158700	161060	is changed in the state of delivery.
161060	170380	So whenever a candle closes above a bearish autoblock, so this is a bullish autoblock,
170380	178140	so I'm going to rephrase what I said, whenever a candle closes above a bullish autoblock,
178140	180100	so this is a bullish autoblock, right?
180100	183900	It's not bearish, so I am rephrasing what I said.
183900	185340	So this is a bearish autoblock.
185340	187820	We have SMT here, right?
187820	193980	Price closes above the body of this bullish autoblock and that is called change in the
193980	195740	state of delivery.
195740	201620	Another way to look at it is the SMT candle, so this candle, right?
201620	204420	This candle right here caused SMT, right?
204420	208820	So you can also look for a closure above that candle and that is also considered a change
208820	210740	in the state of delivery.
210820	215340	However, primarily you want to wait for price to close above the bullish autoblock that
215340	217340	is marked out around here.
217340	222580	Now that is your change in the state of delivery and you can take your entry, right?
222580	227660	Or if you go to the old ways, we can simply look for a market structure shift and from
227660	232700	the autoblock and you can see how price went right up.
232700	239860	Okay, so the key thing to note here is that the SMT is occurring at the lows and highs
239900	241300	of the session.
241300	248140	So as you can see on US steady, we took out the low, but on NAS100, we failed to take
248140	249980	out the low.
249980	255180	So this shows that there was a clear manipulation to the downside, so liquidity on US steady,
