start	end	text
0	7320	All right guys, so in this chapter, I'm going to be teaching you the one RCRD, all right.
7320	10680	So previously, I talked about four RCRDs, right.
10680	14120	So you would market the high and low of the four-hour candle.
14120	21480	But this one is on one our time from, and not every single one R candle is going to present
21480	23280	you a CRT trade.
23280	27720	Only at a very specific time, you will get a one RCRD candle.
27720	29480	And that is eight M.
30480	34640	So you wait for the eight M candle to close on the one R time frame, and then you are simply
34640	39560	marking out the high and the low of that candle, okay.
39560	43960	So afterwards, what you're doing is you're dropping down to one minute time frame, okay.
43960	48800	We are not dropping down to 15 minute or five minute, we're straight up going into one minute
48800	50040	time frame.
50040	55800	And then we're waiting for price to either take out the one R low or one R high.
55800	59120	Once we have taken that out, we are waiting for some form of confirmation.
59120	67240	So whether it's changing the state of delivery, which happens right here or a market structure
67240	68240	shift.
68240	71720	So right here, we got a market structure shift, right.
71720	77640	And we also have this Fair Valley gap around here.
77640	83320	So the next step would be to simply take our entry from this zone.
83320	89160	Now make sure that you keep an eye on the 930 AM news, high impact news.
89160	95240	So if there's a high impact news at 930, you have to avoid trading because you always want
95240	99920	to be trading afterwards after 15 minutes at least, right.
99920	105440	So you could probably take your trade at 945 if the news is over at 930, right.
105440	110240	So the news will happen at 930, you wait for price to settle down, give it like 15 minutes,
110240	111440	and then you can take your trade.
111440	115240	If the targets are hit, then you will not take that trade because the trade becomes
115240	116240	invalid.
116240	121040	If the high is taken out, if both the high and the low are taken out, if that makes
121040	122040	sense.
122040	124480	So this would be your entry.
124480	130120	And if I play this through, you can see that the take profit was hit now, a key thumb.
130120	135920	The key rule here is to use a firm from the CRT low to CRD high.
135920	142640	And at the 50% of the range, you are basically taking one partial and then you are going
142640	144720	break even, all right.
144720	148880	Or simply, you could just go break even at one to one wrist to the right ratio.
148880	154120	But the best approach is going break even at 0.5 level and taking one partial here,
154120	158920	going break even and then letting the trade run until the CRD high is taken out.
158920	160920	Let me give you guys more examples.
161920	165840	All right guys, so here is another example.
165840	168200	You can see we have the 8M candle.
168200	173040	So I'm going to simply mark out the high and the low of this candle.
173040	174360	Okay, very simple.
174360	179360	Then what I'm doing is I'm dropping down to one of them before I do that.
179360	184480	If the 9M candle, so this is the 8M candle, if the 9M candle opens and then it goes up
184480	189240	ahead and sweeps the 8M high and also sweeps some form of liquidity, then that makes it
189240	192400	a high probability CRD, one hour CRD, all right.
192400	194840	So I'm going to explain what I mean by that in a minute.
194840	196400	So let's go to the one minute.
196400	202520	We have the high and the low and you can see we take out the CRD high.
202520	208280	So now we are waiting for a market structure shift with displacement and that what happens
208280	209280	here.
209280	212800	We broke the structure and we also broke the structure.
212800	216040	Then we have this fair value gap.
216040	219080	This would be your entry.
219080	225480	Stop right above the high and our TP would be somewhere around here.
225480	232840	So we got a tap and the take profit was hit.
232840	234200	Extremely beautiful trade.
234200	239600	So what I mean by that, if I go to one hour time for him, you can see that the, let me
239600	241280	just remove this.
241280	245360	So this is the 8M high, 8M low.
245360	251680	The 9M candle, when it's swept liquidity, it's swept this high over here, right?
251680	255480	After it's swept this high, we got a one minute market structure shift and that made it a
255480	256740	high probability.
256740	260720	So you can see how the price displaced, right?
260720	268400	And one key thing to note there, if there's some form of like equal lows or equal highs
268400	272680	as a target, then that also makes it high probability.
272680	277920	Other guys, it's everything is based on liquidity and drawn liquidity, right?
277920	282440	Sweep of liquidity and then draw on liquidity, if that makes sense.
282440	284160	Let's move on to the next example.
284160	292000	All right guys, so here is another example, the 8M candle, just mark out the high and the
292000	294040	low of that candle.
294040	296280	Notice to the left, we have this PDA, right?
296280	297880	This is an auto block.
297880	302400	Surprise is currently in this auto block that makes it a high probability CRT, right?
303400	307480	So now I'm just going to go to the one minute chart and you can also go to the two minute
307480	314120	chart if you really want to look for very, very high probability market structure shifts.
314120	318440	But I like to stick on the one minute for this model.
318440	325480	So we took out the high, but we failed to close below this low.
325480	331640	And for this strategy, it is crucial that the body closes below it, okay?
331640	337000	But then price went up ahead, tapped into, I believe, the 50% of that auto block that
337000	341620	I showed you previously, and then we got a market structure shift.
