start	end	text
0	7400	All right, everybody. So this is the closest thing to Enigma. Now, I know actually he says
7920	9920	there is an Enigma, but
10960	17160	There is no Enigma, but this thing that I'm about to teach you right now is the closest thing to Enigma and
17880	26160	If you use this model correctly, I promise you you can actually make shit ton amount of money, okay?
26720	31300	Now I have a lot of videos on YouTube. I have a lot of models in
31680	37020	My courses in my first course we have models in this one we have models, but this is
37560	39560	what I trade I
39560	47560	Have never revealed this technique before so I'm just gonna close this here. So if you refer back to
48800	53320	the the one-minute range a strategy on NAS 100 I
54320	58360	Thought you how to trade ranges right on the one minute
58800	62680	But the problem that arises with this with that model is that
63480	66720	Let's suppose if price pushes in one direction
66720	71560	So to identify the range we first have to see a move to the upside or to the downside
71560	77560	So let's suppose that price went up, right? So that becomes our range high
77560	81600	So I want to teach you the best way to trade ranges, okay? And
82440	88400	If you understand this correctly, I promise you you will not need anything else and this is basically how I trade
88680	95840	Most of the time all right when this setup is present. I'm going to take it regardless of my bias regardless of the order flow
95840	97520	I do not care about that
97520	102720	So let's suppose that price pushes in one direction that is your range high
102720	109760	But the problem is that how do you actually identify the range low because what can price do is just keeps pulling back, right?
110000	112000	So is this the range low?
113200	119040	Or is this the range low right and you're gonna get faked out again and again most of the time
119640	124960	So how do you actually identify the range low because for a range to be valid?
124960	128560	We must have a range high and a range low, but
129040	136200	It's hard to identify the range low right, but I'm going to teach you the method and that is exactly the juice of this course, okay?
136400	139240	So all you have to do
139760	146560	Is look for a market structure shift. Now once you have a market structure shift, right?
147440	152080	This low over here caused a market structure shift. So
153040	158880	This low becomes range low. This is a valid range low
159360	161360	Not this low or not this low
161840	166320	But this low and this low caused what a market structure shift, right?
166320	169840	low low low low high low low and break in the structure and
170480	173880	This is where we have our range level now
173960	179360	We are simply waiting for price to either take take out the range low or range high
180240	184600	Ideally, I want to see the range low first taken out
185240	190360	Because because because in the in the in the on a high time frame
190360	194880	We could be going up right because we had an initial move to the upside. So
195760	199320	Ideally, I want to see this happen, but it is not necessary
199320	203560	It is just it's just going to increase your windowed by five percent at max
203800	210760	Okay, but you can see if price takes out high or low and then you can target the opposite liquidity
210760	217240	So range low range high right over here. So let's suppose that price comes down and it takes out
217840	221120	The range low, okay, so it works on all time frames
221200	224320	But I trade it on 15 minute and above
