start	end	text
0	6560	So in this video, I'm going to give you some tips or a tip on how you can improve your
6560	9900	wind rate with ABC trading strategy, okay?
9900	12120	So let's assume that you have a POI, right?
12120	16400	It could be an auto block or a fair value gap on a higher timeframe.
16400	21320	And you can also take this into consideration that you had a, you know, a lower low, lower
21320	25560	high, and then you had a market structure break or break of structure, right?
25560	29600	So usually when you are trading smart money or auto flow trading strategy, you would take
29600	30920	your entry from this level.
30920	36280	However, if you want to increase your ABC strategy win rate, what you can do is look for
36280	43080	an ABC pattern near your POI and the C leg goes into your POI like this.
43080	49080	So we have an ABC and the C leg goes into your POI.
49080	53760	Now that is going to increase your wind rate tremendously, okay?
53760	59560	Not tremendously, but it's going to give like a 5% or 10% increase to your wind rate.
59560	63080	So you are going to then follow the rules again, right?
63080	68920	As I have taught the ABC strategy, you then wait for a market structure shift with displacement,
68920	74120	with volume, and then you take your entry from the extreme fairly gap and kaboom.
74120	78560	So this is something that you can take into consideration, all right?
78560	81600	What you want to do is you want to identify a POI.
81600	83160	It could be an auto block.
83160	86600	It could be a fair value gap, a high timeframe, right?
86600	93640	And then you wait for price to give you an ABC pattern near your POI and the C leg goes
93640	95360	into the POI, right?
95360	100000	And when it does, then you can look for a market structure shift within the range, which
100000	101480	is here, right?
101480	107520	So if the price breaks a structure somewhere around here, you look for your entry and boom.
107520	112960	Trust me, it's going to increase your wind rate by 10 to even 15%.
112960	117000	So yeah, I hope you liked this tip and let's move on to the next video.
