start	end	text
0	7920	okay so we are slowly moving forward today in this video I'm gonna teach you
7920	14840	about liquidity and the actual concept about liquidity so I'm pretty sure you
14840	21640	have watched a lot of videos on liquidity maybe on YouTube or you bought
21640	27360	someone else's course and you you know they taught you about liquidity so it's
27400	33360	my job to teach you as well because you spend a lot of money right so it's just
33360	40000	it's just best for me to explain what is liquidity so let's suppose that this
40000	47360	is resistance right and this is support level all right so we are told to sell
47360	53820	at the resistance and then buy at the support level okay and now you might
53820	59940	have noticed that I have labeled the resistance as buy side liquidity and I
59940	65380	have labeled the support level as sell side liquidity and I want to explain to
65380	72060	you why I did that but let me explain a bit more about liquidity so you can see
72060	78660	that price goes up to resistance and then we see a huge sell-off right so now
78660	84940	this area becomes a resistance because price couldn't go above that
84940	90980	level and there are heavy sellers around this area so price goes down and then
90980	97220	from this area price goes back up in like with a momentum all right so now
97220	101380	this place could be considered as a support level this level and this level
101380	107020	is now considered to be a support level so a lot of retail traders what they are
107060	111180	expecting is that when the price is gonna come back to this level which is
111180	117460	the resistance the price is gonna fall down okay so what price actually does
117460	126500	is let me explain to you oh sorry doo doo doo doo doo price fakes out like this
126940	140820	all right and then goes down all right fakes out the support level and then it
140820	146140	could it might either go up or down depending on the daily bias all right
146140	152460	so I'll assume that it just goes down so now what really happened here all
152460	162540	right a lot of retail traders what they do is they go short on the resistance
162540	167660	level and they put their stop losses right above the resistance level all
167660	173460	right so what price does it stops you out but then why am I calling it a
173460	181140	bi-side liquidity let me explain it to you very very easily all right so when
181180	188260	price breaks out the breakout artists people who trade breakout patterns what
188260	194260	they're gonna do is they're gonna buy once the resistance level is broken right
194260	200900	and they're gonna put their stop loss below the this level all right so they
200900	208500	have a buy order all right and their stop loss order is a sell order so if a
208540	215740	person buys if a person goes long and then he gets stopped out then that stop
215740	221500	order would be considered as a sell position all right so the reason why it
221500	227460	happens is that the so that the price can go down with a momentum with huge
227460	232700	volume because when the price breaks out people buy right but then they have
232700	238260	stop loss order so what price is it just goes down triggers a lot of stop loss
238260	245540	orders which are sell orders right so it's gonna create more sell orders here
245540	253100	and the price gonna go way down all right so people who just shorted at the
253100	257420	resistance level they got stopped out as well people who went long on the
257420	262740	breakout they got stopped out as well and as you can see price would go right
262820	268540	down all right this is why I call it buy side liquidity because people are
268540	274940	going to buy when the price breaks out of the resistance level and when the
274940	281780	price breaks out people are gonna buy here put their stop loss below this
281780	288220	this resistance level and price goes back down triggers sell orders or stop
288220	293820	loss orders and it just goes down similarly when price breaks through the
293820	303220	support level people are going to short right and when people short here they
303220	307880	gonna have their stop loss right here so the breakout artists they're gonna
307880	311140	short here put their stop loss right above the support level and what happens
311140	318820	price stops you out triggers buy orders okay so when we are shorting let's say
318820	325660	you shorted here right and price stops you out then it would trigger buy orders
325660	330300	because you are selling right so when you get stopped out it will trigger buy
330300	336980	orders and then with the momentum with liquidity price is gonna go back up with
337020	342540	momentum it's gonna go back to its original destination with heavy
342540	349540	momentum so this is the concept of liquidity now liquidity could be
349540	357940	literally anywhere it could be right here right this level all right when we
357940	363940	are in and we are in an uptrend the you can see the higher high and higher low
363940	368500	this high low could be considered as liquidity as well because people are
368500	376740	going to buy oops my bad at the breakout of this previous high so let's say
376740	381060	people buy here they might put their stop loss right below this previous
381060	387820	high low right and then in the future the price can come back down right to
388820	395420	some autoblock here or demand zone and then the price can just actually move
395420	401740	back up oops my bad it can just move back up like that so it could be anywhere
401740	410260	but we need to identify the most important liquidity areas so the the
410260	416380	more prominent that area is the more it's gonna be you know working with your
416380	420700	strategies the strategies that I'm gonna teach you in the upcoming videos we
420700	426100	are going to use liquidity we are gonna trade with liquidity liquidity is
426100	432580	everything all right so I hope you did understand the concept of liquidity and
432580	440020	I'll give you some examples in the next part of this concept
