start	end	text
0	3380	All right guys, so this is an example for the buys.
3380	5000	Of course, this is hindsight,
5000	6480	it's not gonna always work.
6480	10560	And this is, the auto-flow trading strategy
10560	14480	is not my favorite one, but you can back test it
14480	18320	and you know, get used to it, if that makes sense, all right?
18320	23000	So what we have here is that we create a higher high,
24720	27960	a higher low, and then another higher high.
27960	30880	So basically, we broke the structure
30880	33600	and now this is a continuation of a trend, okay?
33600	35400	And what do we have here?
35400	38720	Imbalance plus auto-block, but what happens here?
38720	41320	Price does not hit the auto-block,
41320	43640	but it hits the imbalance.
43640	47160	So this is what I say that sometimes I'm gonna take entries
47160	49500	of the imbalance, sometimes of the auto-block.
49500	52280	I always take my entry from the imbalance,
52280	54840	if the imbalance is very short like this, okay?
54840	56800	So I would take my entry right around here
56800	58080	and I put my stop plus here
58080	61720	and I go for this level right around here.
61720	63920	This would have been a 3.73.
63920	67560	Now we can see we created another higher high,
67560	68880	which is this, okay?
68880	73720	And then we got this imbalance plus the auto-block, okay?
73720	77120	So now what happens here is that you can see
77120	78160	we have marked the auto-block,
78160	81720	but what it did, it just maybe stopped you out.
81720	85600	But if you wanna be on the safe side,
85600	88960	what you can do is put your stop below this low.
88960	91960	Okay, because sometimes, and I'm saying sometimes,
91960	94520	I'm looking at this at the five minute timeframe, right?
94520	96000	But on the one minute timeframe,
96000	98440	there could be another imbalance and auto-block
98440	100240	around in this week, okay?
100240	103200	This whole week is a price action as well.
103200	106160	So maybe on the 30 second timeframe
106160	109200	or 15 second timeframe, there was an imbalance
109200	110920	plus auto-block right around here.
110920	113160	So make sure you put your stop plus here
113160	114400	just to be on the safe side.
114480	118960	And as you can see, we go up targeting this high
118960	122680	and then we broke the structure once again,
122680	124800	which is right here.
124800	127520	And then you can see we got the extreme
127520	129080	fair value gap at this level.
129080	131840	There's no imbalance here, it's all filled, all filled.
131840	134000	And we got this auto-block here.
134000	138120	And you can see we got a perfect entry around this level.
138120	142360	We would have entered here and boom,
142360	144440	targeting the high.
144440	148640	That was a 5.72 risk to reward trade guys.
148640	149960	Very, very simple guys.
149960	153760	And yeah, this is how we trade.
153760	155840	And let me give you another example.
155840	157600	We broke the structure again.
157600	162120	So there is the extreme fair value gap around this level.
162120	165360	So you could have entered from the fair value gap
165360	168040	or you could have your entry around this auto-block,
168040	170040	but then you would have missed the entry
170040	173120	by one people.
173120	178120	But just to just, I want to tell you guys this one thing,
179760	181920	you should always put your entry a little
181920	183800	above your actual entry point to deal
183800	185520	with the spreads of the broker, right?
185520	187800	Because sometimes, due to the spreads,
187800	191600	you will not get your entry if your entry
191600	194440	is exactly at the auto-block, okay?
194440	198320	So make sure you always have your entry a little shy
198320	200520	above the actual entry point.
200520	203200	And then you can see price went all the way up.
203200	206120	So we are done with the auto-flow trading strategy,
206120	208680	my least favorite trading strategy,
208680	212240	but it can be your most favorite trading strategy, okay?
212240	214680	So as I said before, in the course,
214680	218040	you must choose one strategy and work on it.
218040	222560	You should not try out a lot of other strategies.
222560	225960	So I'll see you guys in my next trading strategy video.
