start	end	text
0	11840	guess. So here is an example of using combining POI with ABC. So we have A, B, and the C leg
11840	19760	goes into this autoblock, right? You can say this right here, price goes straight into
19760	29140	this autoblock here. So, and it also takes out liquidity or the high of the leg. So you
29140	37860	have A, B, and C. Now what you have here is a market structure shift here. And you also
37860	45780	have market structure shift here. And you also have a market structure shift here. Cool.
45780	53100	After that, you have your autoblock here, right? You see this fair body gap. So your
53180	60380	autoblock could be this right here, considering this high as well. And you shot it right here,
62380	68460	right? And you put your stop there just like that. And you target the low here, which is
69980	78540	a six risk to reward trade. So notice how we took this autoblock or supply zone into consideration.
79100	86220	The C leg goes into this level. We had a market structure shift, right? And we took our entry from
86220	94700	this extreme fair body gap plus OB, right? You could put your stop here as well. But, you know,
94700	99820	I usually like to put them here, but it's also safe to put it here. Okay, I'm not saying that
99820	105020	you should put it here. You should put it here as just like if you want, if you want to, right?
105020	111020	But for me, I do not care about losing a trade. My psychology is good. So even if I lose this,
111020	116460	price goes back here and reverses, I'm going to be fine because, you know, unlike some people,
116460	121820	if, you know, if they put their stop loss here and it gets stopped and it just reverses from this
121820	129900	area, you would be mad, right? So just keep it there. You don't want to mess around with the,
130620	138380	oh, never mind. So we got the 3.25, you could say, or six or we were screwed on. And this was a
138380	143740	perfect example on how you can use ABC with POI.
