start	end	text
0	5300	Alright guys so in this video I'm going to talk about confirmation entries and I did
5300	11400	not make a video about confirmation entries in the you know my course videos so I thought
11400	17040	maybe I should share it with you guys and it's helping me a lot it help it has helped
17040	23900	me a lot and it's also going to help you a lot with the with your win rate okay so you
23900	30340	are going to miss the trades sometimes but when you're going to take those trades they're
30340	39420	gonna actually work out so let's take ABC as an example so let's say that you are looking
39420	47940	at ABC right on a five minute time from so you have these small little pullbacks then
47940	55780	you have this one large pullback then you have this big pullback oh sorry push up again
55780	65180	so textbook ABC right we have taken out the high so then on the five minute let's say
65180	73940	we are looking at the five minute time from right so on the five minute we have a market
73940	80340	structure shift right following all the rules so you would have your favorite gap or
80340	86540	autoblock marked up here right so now when you have your favorite gap and autoblock marked
86540	92940	you want to drop down to the one minute time frame or a smaller time frame right and this
92940	97380	was on the five minute right so when you're going to drop down to the one minute you're
97380	106820	going to see a structure like this right so on a smaller time frame like one minute
106820	113460	you also wait for market structure shift okay through your POI so on a bigger time frame
113460	119380	we have ABC right and then we have a market structure shift on a bigger time frame once
119380	126020	you have market structure shift and you mark up your POI you want to drop down to the smaller
126020	131700	time frame and wait for fractal confirmation all right you want to wait for confirmation so
132500	137380	on the one minute you wait for market structure shift again with displacement and I'm going to
137380	147140	talk about displacement in the coming videos so then you take your entry from here right after
147140	152180	market shift you take your entry and this is going to increase or win rate because this is
152180	156500	confirmation right that the autoflow is now bearish so you can target something like this
156500	161700	and can work out when you are not using confirmation entries what sometimes can happen is
162820	168180	you know you have your ABC and you have broke the structure price can simply just
169540	177060	stop you out okay so I think it's better to look for confirmation entries right when you
177860	183940	have your ABC setup you wait for confirmation on smaller time frames so let's say that you are
183940	190580	looking at the ABC on one hour time frame and you have your market structure shift right and then
190580	195940	you have your POI on the one hour time frame you want to drop down to the five minute time frame
195940	203780	and then you want to look for a confirmation like this right so you have a break on the five minute
203860	213460	time frame and you have your free body gap or OB here and then you take your entry from this level
213460	221940	put your stop there and kaboom so this can be used with any strategy that I've taught you guys
221940	228740	so let's assume that we are looking at the autoflow trading strategy so on the one hour time frame
228740	233140	we have you know like a change of character here or market structure shift whatever you want to
233140	241940	call it and then we have our autoblock here so when when you have a market structure shift what
241940	247220	you want to do is you want to drop down to a smaller time frame like 15 minute or five minute
248660	252500	I would say drop down to 15 minute right so you would have a structure like this then
253300	258820	and then you wait for market structure shift on a 15 minute time frame right you break the
258900	263220	structure on the 15 minute time frame remember we had a change of character on a one hour time
263220	268820	frame and then we had air confirmation from the POI or from the one hour POI on the 15 minute
268820	274740	time frame so when you have a market structure shift you can just take your entry from this level
274740	282260	here and you go along here and you put your stop there and kaboom it's going to work out in your
282260	288500	favor so what it does is first of all it just gives you a better risk to reward entry and
288500	295060	secondly it increases your increases the chances of that trade going in your direction so
297780	304580	you want to consider using the confirmation entry tactic in your in your strategy
305300	311860	now this is gonna take some back testing because for some people this might not be suitable because
311860	319700	sometimes what price will do is let me draw this out right so you have your POI here right so
320580	326340	let me draw this out so what's going to happen is you're going to get your confirmation
326340	332660	market structure shift but price will not come back to the lower time frame POI your entry point
332660	337460	and it's just going to keep on going up so this can happen and you are going to miss out the trade
337540	342580	but what is what's beneficial what's the plus one of this thing is that you're going to get a better
342580	352980	risk reward and you're also going to increase or win rate so make sure that you take this into
352980	360340	consideration also a lot of people mess up this one thing so you want to go to the indicators and
360340	373700	type in and type in ICT Killzone right so you are going to have like Killzone what is Killzone
373700	378340	is like the London session and the New York session and there's specific timing that you should be
378340	384260	using for your trades because at that time is when the algorithms are active right so you're
384260	387780	going to have a Killzone London Killzone and then you're going to have a newer Killzone I'm going to
387780	391380	I'm going to show you the indicator as well that is going to you know show you the Killzones
392020	401940	so your entry must be so you have like you know a break of structure here so now let's say sorry
401940	406500	change of collector market structure shift you have market structure shift here right so what
407460	412180	you don't want to take your trade outside the Killzone you want to take your entry
412980	418660	during the Killzone hour so let's suppose this is London Killzone right so you have your entry and
418660	427300	boom similarly over here you want to wait for you know the price to give you the entry during
427300	434660	your during the New York Killzone so this is a must thing and a lot of people mess this up they take
434660	441700	trades during long during a wrong timing and it could be the reason why the trade doesn't work
441700	450100	out in your favor so in this lecture what I've taught you is a confirmation entries right and
450100	460660	I've also taught as the Killzones how they are beneficial for your win rate so if I go here let
460660	469220	me go to the five minute time frame I have the yeah so there we have our Killzones you can see
469220	475540	this is the London Killzone right and this is the New York Killzone that you are looking at
476260	482180	so your entry must be between these hours right it's that simple
484260	492420	so you can see that actually for indices personally I would still be looking to trade till before
493380	501380	take my entry before 11.59 right but over here this Killzone indicator says then 10.40 and also
501380	508180	I see this is actual this is an actual Killzone right which ICT teaches but for indices you can
508180	516500	go till 11.59 if you get actually I would correct myself there I messed up
517300	524740	when the clock hits 12 on indices if you are in a trade you should close it immediately because
524740	532260	price can reverse all right so the best time would be till 11.30 if you get your entry at 11.30 that's
532260	538740	prime okay you don't want to hold your trade till 12 you want to close it before 12 so yeah
539540	547860	make sure you know that so yeah I'll end this lecture here and we'll continue with other
549540	551540	tactics
