start	end	text
0	7160	Okay guys, so in this video, we are going to learn about fair value gaps and imbalances.
7160	10800	They are the same thing, but different names.
10800	15920	You could either call it fair value gap or imbalance, it's really up to you, but a shout
15920	21800	out to this guy over here, great presentation or diagram, you could say.
21800	26440	Okay, so a gap of liquidity left during the movedown and trials due to new brain pressure
26440	29360	overlapping that part of the move in the previous or next scandal.
29360	31840	So basically, what is fair value gap?
31840	38920	Is the space between the three candles, all right, so this is the one candle, second candle
38920	40600	and third candle.
40600	48640	So as you can see from the left side, from this low and the third candle to the right,
48640	56600	this high, there's this gap, all right, there's nothing around this level, all right.
56600	60280	So this is considered to be imbalance.
60280	66280	I will repeat, you can see that price went up and then we had three candles, okay, so
66280	70920	this is like a three candle, um, pattern, you could say.
70920	74880	So you can see one, two, three, three candles.
74880	81040	And in between those three candles, there should be a gap, okay, so how do we determine
81040	82280	a gap?
82280	88080	We look, if we are looking at a short position, we're going to look from the, we're going
88080	89960	to look, start looking from the first candle.
89960	98160	So this is the first candle and we look at the low of the first candle, which is this.
98160	102040	And then we look at the high of the third candle.
102040	110720	And if there is gap between the low of the first candle and the high of the third candle,
110720	117280	then that area could be considered as fair value gap or imbalance.
117280	124040	Now why does this happen is when big institutional buyers or sellers are in the market.
124040	131960	When there is unfair, or you could say huge amounts of selling or buying going on, market
131960	139160	leaves unfair price, okay, and that price should always be filled.
139160	145400	It should be filled to keep the value of the market fair, if that makes sense.
145400	151560	So that is why we call it a fair value gap, because when price comes into this level,
151560	156160	it, it makes a price fair, if that makes sense, all right.
156160	164520	So if we look at the by example here, we look for the high of the first candle and the low
164520	166160	of the third candle.
166160	172280	So this is again, a three candle formation, remember that one, two, three, all right.
172280	176680	So the first candle, we're looking at a by example, okay.
176680	184080	So the first candle, the high of the first candle and the low of the third candle, we
184080	188640	have to look for these two things, all right, the high of the first candle and the low of
188640	190080	the third candle.
190080	196960	If there's any space between the first candle and the third candle, then that space should
196960	200600	be considered as fair value gap, all right.
200600	203600	So let me give you some examples.
203600	209880	So as you can see, we got, let me zoom in a bit.
209880	212840	You can see one, two, three candles, right.
212840	215720	So we're looking at three candles, okay.
215720	222240	So we got one candle right here, the second candle right here and the third candle right
222240	224080	around here, all right.
224080	231360	And in between these three candles, we got fair value gap, all right.
231360	236240	So let me put that like this and let me go to the repo mode.
236240	238680	So it's clear for you guys, all right, okay.
238680	244480	So as you can see, what we discussed, when we're looking for a short position, we are
244480	249840	going to look for the low of the first candle, which is this, as you can see, there is a
249840	250840	week, right.
250840	255280	So this is the low of the first candle.
255280	258680	And then we look at the high of the third candle.
258680	262760	And there you can see there's gap around this level, right.
262760	272400	And what we should be expecting is that price is going to fill this level, this imbalance
272400	276480	and go down, all right.
276480	278800	So let's see what happens.
278800	284120	Price fills the imbalance and then it drops down.
284120	286120	Very simple guys, okay.
286120	291720	And as you can see, price goes up a bit, fills all the imbalance here.
291720	297480	And there should be some imbalance on a smaller timeframe, all right.
297480	301480	So we are looking at this imbalance on a five minute timeframe.
301480	307560	But I'm pretty sure there's going to be imbalance on a short timeframe.
307560	310960	So let's go to the one minute timeframe.
310960	321600	And as you can see, as you can see, if we zoom in, you can see there's gap, all right,
321600	323280	from here to here.
323280	328040	So a one, two, three candles, very nice.
328040	335960	And then you can see we got this gap, all right, and price must fill this level.
335960	346480	So if we draw this out, you can see how perfectly price filled the imbalance here, make the
346480	351400	price fair, and then it went down all the way down, all right.
351400	354000	So let me play this out for you.
354000	356000	Yep.
356000	358920	So it went all the way down.
358920	363160	Let me give you an example for by position.
363160	364160	All right.
364160	366640	So we are looking at this, all right.
366640	371800	So we got, let me label it so it's easier for you.
371800	372800	Okay.
372800	378320	So we got the one candle around here, whoops, all right.
378320	380000	So this is our first candle.
380480	385000	Okay, I should just, so this is first candle, right?
385000	387280	This second, and this is third.
387280	393760	When we're looking for buys, we are going to look at the high, the very high of the
393760	398760	first candle and the low of the third candle.
398760	402560	And then we wait for the price to fill this level.
402560	409880	And as you can see, if we draw this out, price filled this level, fill this imbalance or
409880	414760	fill the value gap, and it went all the way up, all right.
414760	419840	And I'm pretty sure that there was some imbalance around this level here as well, all right,
419840	425480	on a 30 second timeframe or, I don't know, 15 second timeframe.
425480	427760	Remember guys, price is fractal, all right.
427760	433600	So whatever is happening on the one made, it could be happening on a smaller timeframe.
433600	438000	So it doesn't really matter what timeframe you're looking at as long as you are following
438080	440240	your rules.
440240	446040	Okay, so as you can see, price fills the imbalance and the fair value gap, and it just
446040	447800	goes all the way up.
447800	456320	Now we should not use the fair value gap or imbalance, whatever you want to call it, as
456320	459520	an independent strategy, all right.
459520	464560	This is something that we're going to use with a lot of other confluences like liquidity,
464560	468200	market structure break, okay, market structure shift and all.
468200	469400	So keep watching.
469400	478400	And I'm pretty sure that you should be pretty clear about imbalances and what they are.
478400	482240	I tried my best, my very best to explain it to you.
482240	485080	I really do hope that you understood it.
485080	490560	If you did not, I would highly recommend that you watch this video again because this is
490560	496040	one of the most important things of this course.
496040	498760	So yeah, I'll see you guys in the next video.
