start	end	text
0	3600	Okay, guys, so I want to give you an example of confirmation entries
4000	10960	So on the one hour time from you have this change of protector and we also have this break of structure here. So
12480	18880	Oops, my bad. What's happening man? Okay, so we have change of picture and also we have break of structure, right and
19560	21720	There we have our autoblock
21720	31400	With fair value gap. So this is our POI. Now when price comes back into your POI, you want to drop down to the five minute time for him
32720	40160	And you look for market structure shifts. So did we have a market structure shift here? No, we did not break above this level
40160	44760	So I want to wait for a body closure. Okay, not the week. So
46400	49320	Over here we see price
49760	54760	Okay, so we have another liquidity sweep. So let's assume
56960	62240	Okay, so I believe we have market structure shift. So this is our market structure shift, right and
62840	64840	We have this fair value gap
65320	66600	with OBI
66600	72920	You can see and if I take my entry from this level put my stop right below this level and
73760	75760	We look to target
76640	78640	Um
78640	83240	Maybe this high here these equal highs, right? So
84640	86640	See what happens
88000	90000	So I'm gonna put this at three
92640	94640	And I'm gonna buy right here
98840	102440	Let's just speed this up. Okay, nevermind and I'm gonna sell it here
106160	108160	At around this level
110200	112200	So let me just speed this up actually
114800	117680	And price just keeps on going up
122400	127000	And eventually yep, we hit our take profit so
130000	133120	I'm not sure what happened here. How do I close this out?
134120	136440	All right, I'm just gonna close this here
137000	142000	So you can see that we if we use confirmation entries
142680	149760	It's gonna be really really beneficial, right? So this trade right here was not during the
150560	156040	Killzone, but this was just to show you as an example that how well it can work, okay?
157160	158560	so
158600	163800	Make sure that your entries are always during close-on-ars. It's gonna increase your win rate
164320	166320	I'm not saying that you can
166800	169240	You know not take a trade ever
170120	175240	Like without being in a close-on, but if you take killing kills on into consideration
176320	178320	the chances are higher and
179400	183600	The algorithms are active at that time, but this right here. This was an exception and
184240	190600	This was also just for for an example. I just looked at the chart and I found it. It worked out pretty well
191760	195080	And this is a hindsight as well, but it does actually work
195080	195840	so
195840	198840	You can see that we came into our POI
199040	201280	we had a market structure shift here and
201800	207400	We took our entry from the Fereboli gap and it took its time and took out these level
207400	212480	this was our take profit level that would have been nine nine point three risk to reward and
213600	215600	This was beautiful
