start	end	text
0	5560	All right guys, so this is the chapter number two of the course of date in
6680	12360	This video in this topic. We are going to learn about the market maker by model and market maker
13080	19760	Cell model now. This is advanced market structure and if you can't identify this structure
20600	27520	Your win rate is gonna be like insanely crazy like 75 to 80 percent. I'm not even kidding
27840	30240	Now the reason why I don't trade this is
30680	36840	Because I'm a type of trader who want to be on the chart for like five to ten minutes max and just disappear, right?
37480	42160	So that's why I use the auto flow trading strategy. It's very easy. You just look for market structure shifts
42520	45520	But I can use these setups and make more money
45520	49880	But I don't I'm okay with two to three percent per month because I have funded accounts, right?
49880	54560	So I have three funded accounts. So if I'm making like two to three percent, that's enough for me
55120	61440	That is why I don't I don't use these methods. However, if you want to make more money
61440	64000	Or let's say you want to pause challenges lights instantly
64440	68960	The next few topics are gonna change your life and you have my work
69000	75580	So let's talk about market structure. Oh, sorry the market maker model the market maker cell model and the market maker by model
76880	81880	So let's assume that this right here is a key level, right? I have drawn this key level
82720	86520	Once price comes into your key level before you do anything
87080	91880	You have to look for this structure. So what is basically a market maker model?
92120	95560	So you have to identify a consolidation phase
96240	98160	Before price comes into your POI, right?
98160	105280	So there will be a consolidation a clean consolidation the very first consolidation before price comes into your POI, right?
105880	111840	You want to have a consolidation phase and then you can have another consolidation phase and another
112880	119600	Now these two consolidation phases are not necessary to see but you have to identify the main consolidation, right?
120080	122080	So let's say price is
125280	132200	Something like that, right? And then price consolidation consolidates a bit and you have like your high time frame level
132680	136680	Right there now you have to identify a clean
136880	139560	consolidation then price goes up now these
140480	146200	If you want to add these that that's gonna make like a very beautiful market market maker cell model
146280	150680	So even if you find like the second consolidation, you don't have to look for tight consolidation
151280	156480	However, I recommend you find at these two consolidation phases before price comes into your POI
156840	160680	So first consolidation and then a second consolidation, right?
160680	162960	And third one is not necessary
162960	170640	But if you if you see this then that's even better when price comes back into your POI you simply look for a market structure shift
170800	172280	so
172280	174940	Let's say price comes back here, right?
175200	181480	Into your POI you drop down to let's say you were looking at the daily time frame POI
181480	186520	So price comes into a daily POI you drop down to one hour time frame
186520	191720	And then on one hour time frame you look for this market maker cell model
192840	195920	Okay, wait, let me do this first
199480	201480	So I'm gonna repeat this again
201480	208080	You have your daily POI right price comes into your daily POI you drop down to the one hour time frame
208360	213480	Once you drop down to the one hour time frame, you want to identify a market maker model
213480	215280	which is basically a
215280	221480	consolidation original consolidation from where price consolidated and then starting moving up towards your POI and
221800	227120	If you see a pullback or a some sort of consolidation along the way, that is even better
227800	232840	Now once price comes into your POI you will look for a market structure shift on
233840	236520	one hour time frame now once you have a
237120	239600	Market structure shift on a one hour time frame
240120	245800	You can simply look to take your entry from the fairly gap, right or
248040	253520	What is a medication blog? Let's talk about medications blog. Then not that is the most important part of this thing, right?
253520	259800	So we have a buy curve here. So price was going up. That's why we call it a buy curve
259800	263560	Okay, a buy side curve. So it's it's like it's price is going up, right?
264080	267160	Now you have to mark out every single
267960	275160	Bullish autoblock right here. So let's say there was a bullish autoblock here, right?
275160	276840	And
276840	283480	There is a bullish autoblock here. We are going to utilize these autoblocks in our sell site curve
283480	287080	Okay, so since we have a market structure shift, we had the buy curve, right?
287080	293720	Now we're going to have the sell site curve. So we are going to use these autoblocks as our POIs. How?
294720	296560	Oh my god
296640	300520	So let's say price breaks through this autoblock, right?
300520	305240	And it creates a fairly gap or an autoblock inside this old
306120	310480	Bullish autoblock. Now that when that happens this become mitigated
311280	318080	Mitigation blog, okay, this becomes mitigation blog when price breaks through it. If it has to be able to gap you simply take your entry
319120	323400	Or if there's an autoblock inside here, you take your entry from the autoblock
323440	328560	Let's say price breaks this mitigation blog again. You have a mitigation blog right over here
328560	333000	And let's say there's a fairly gap formed inside the box or an autoblock
333000	339720	You take your entry from there and you keep shorting until this liquidity level is taken out. Oops my bad
340440	346080	Until this level, which is the original consolidation the low of the original consolidation is taken out
347520	348720	Now
348760	351680	Remember about the time from alignment, right? So for the daily
352320	358160	Daily bias and daily trading we go from day one to one hour and to five minute for a weekly
358160	361600	We go from weekly to four hour and then to 15 minutes, right?
361960	367920	For monthly we go from monthly to daily and then from daily to one hour. Remember that?
368880	370880	Okay, so
371360	376960	Let's remove let me remove this right here. Oops
378720	380720	Okay, so let me zoom in a bit
381040	383040	Once you get the market structure shift
383680	385680	right on the
385920	389560	One hour time frame now what you can do here is to increase
390040	392040	You know like your probabilities is
393120	395120	Inside this range right
395880	398040	inside this range here from
399120	404320	This low to this high you look for another market maker
404720	410040	Cell model. Okay, so for example when you drop down to the five-minute time frame
410040	413240	You will have to identify original consolidation around here
413440	416440	Right and then price goes back into your POI
416440	422560	Which would have been your entry on the one-hour time frame and then you simply target this low here on the five-minute
422880	425520	You look for the exact same setup. What is that?
426280	428280	consolidation another consolidation
429480	431480	not necessary but a
431480	439720	Plus point consolidation and you take your entry and you target this so I will give you guys a couple of examples then I'll end the video
