start	end	text
0	7120	Alright guys so in this lecture we are going to talk about entry patterns. So there are two entry
7120	17120	patterns that I use for my entries regardless of what strategy that I'm using. So I could be
17120	22240	using ABC and I'd be using those entry patterns. I could be using the under over pattern strategy,
22240	29600	I could be using ABCD. Well for ABCD you don't really need to see the market structure shift but
29600	37360	if you look for market structure shift on ABCD as well it can work out greatly as well. So what
37360	43760	are entry patterns right? So let's assume that you have a POI right here. So this is your POI and
46000	55760	there is one called the inducement. So let me just put this the inducement entry pattern
56560	65840	and then there is BOS liquidity pattern right. So these two patterns work pretty well. So let's
65840	72560	assume that you have a POI right. So this box right here is a POI. So this is inducement right. So let
72560	78160	me just put this. So price is coming back into your POI and it just reverses before you entapping
78240	86720	into your POI. Now what does it say? It's like calling in early buyers right. So this is like
86720	92080	manipulation. So what when people are going to see that the price is growing up from this level
92800	97520	they are going to form or end. They're going to buy here, here, here and here right because they
97520	105920	think that this the price has found the bottom. In reality this is liquidity being generated by
105920	116640	the market makers okay. So one price so the people will have their stop losses below this level
116640	122480	and there will be breakout artists right as well. We're going to take trades when this level breaks.
123200	129920	So price comes back into the POI actual POI and then it goes back up. So this is an inducement
130720	137520	entry pattern that you can use with every single strategy okay. Whether it's ABC, whether it's
137520	146400	any other okay. Whether it's auto flow it works perfectly well. So you see you have inducement
146400	153200	right. This is our POI price comes back into a POI and you would have taken your entry here
154000	160640	and boom it goes up. Now we have the BOS liquidity pattern and what is it.
162240	172000	So you have your POI right. So price comes into your POI right and then you have a change of
172000	177600	character or market structure shift and when you have change of protector right you would have
177600	182400	your auto block here at the extreme zone right. So you want to take your entry from the extreme
182400	185920	auto block. So you have marked out your extreme favorite auto block plus favorite gap.
186720	192240	If price without tapping in goes up and breaks another structure like this. So this is break of
192240	197680	structure or market structure break right. This is market structure break and we have this
200160	206720	fairly gap with auto block and price never came back here and before it came back here it made a
206720	213520	another higher high. Now a lot of people will take their entry from this level considering that
213520	220080	this is a break of structure right. So a lot of people they will take their entry from here. However
220080	229600	they fail to notice that this right here is liquidity okay. So price is going to come back
229600	236400	down into the lower time oh into the POI right not the lower time from but the POI and it's
236400	243440	going to go boom like this. So remember this pattern okay. Now price can actually do something
243440	250720	like this as well. So let me just draw this out delete this out and delete this out as well.
251680	260400	So price can actually come back and before price shifts the market structure or before market
260400	265600	structure shift happens price can actually create a break of structure liquidity pattern right.
265600	272720	So this is perfectly fine as well. So yes you have a change of architecture here or market
272720	279440	structure shift here but price also had a break of structure. So your entry would be valid
280160	285520	from this level as well. It's not necessary for price to
287840	295760	shift the market structure and then break the structure right. No when even if price hasn't
295760	301520	you know shifted the market it can create a break of structure pattern which is which
301520	305040	is going to look something like this right. So you have a break of structure and you also have
305040	309760	change of structure here and that is absolutely fine as well because this is liquidity level.
311200	318000	So make sure you know that and when price comes back into your POI
318000	326160	come boom it's going to go up like that. So these are two entry patterns and I have explained
326160	332160	these entry patterns in one of my YouTube videos so please refer to in detail okay. I have
333120	338400	you know explained this in detail by showing examples on YouTube so I don't think it's
338400	345040	necessary for me to you know just repeat the same thing in the course as well. You can go to my
345040	350640	YouTube channel I'll actually link it in this video description so you can watch it on the YouTube.
352080	359280	So these are simple entry patterns that you can use so in every strategy right. So
359280	363280	yeah guys I'll see you in the next lecture.
