start	end	text
0	4820	Alright guys, so in this video, we are going to learn about autoblocks now
4820	11200	I'm pretty sure that you guys have heard a lot about autoblocks and
13680	17920	If you've been watching a lot of YouTubers for Xtraders
19080	23360	I'm pretty sure that by now you know about autoblocks, but
25680	28480	Just for the sake of this course, I'm gonna still teach it
28480	30960	All right in my own way. That's how it makes sense
32800	36280	So what is an autoblock?
37840	41760	Now if you are new you should be listening very very carefully
43800	47720	So when we get an impulsive move I
48720	54880	Will repeat when we get an impulsive move to the downside or to the upside
54880	63340	Price is going to leave out some imbalance or fair value gap. All right
64680	66680	now
66800	67920	above
67920	69840	now the first candle
71120	74000	Of that fair value gap that creates the
74520	82000	Remember we talked about three candle pattern, right? So we got one pet one candle two candle and a third candle
82440	87880	Okay, so as I've said before I'm going to explain to you autoblocks in my own way. All right, I
89000	91160	Believe it works way better
91160	96760	than what other people are teaching because if you I'm going to say it quickly if you have been watching a lot of
96760	105320	Videos they always tell you that you should always pick the very last candle of that impulsive move, but that is absolutely wrong. All right, so
106000	112000	First of all you want to identify imbalance. All right, so we talked about the third three candle pattern
112000	118520	So there's one candle. This is the second candle and this is the third candle. All right, and we got fair value gap
120440	122440	Around this
123520	128880	So this is fair value gap now the very first candle, which is this. All right, that is your autoblock
129520	131520	Okay, so you just mark it out and
132080	136480	This is from where you should be entering if you want to enter off the autoblocks. I
138040	145680	Sometimes I enter off the autoblock if the imbalance is too big. Okay, sometimes I just be direct the entering
146080	148080	from the imbalance so
148320	153960	This is basically autoblock guys what you want to determine first of all is a
155040	160920	Impulsive move it could be as you can see this is an impulsive move and by impulsive move I mean
161920	165240	a price action that leaves imbalance, okay, and
166120	170440	What we should be always keeping in mind is that we should be only?
172400	180240	Considering the autoblock and imbalance in the premium zone if we are looking to sell. Okay, so we are looking to sell right
180240	186560	So then we're gonna draw out our fib and you can see price is above the 50% level. So
187040	189040	Yeah, you can buy a
189880	196020	Sorry, you can short it right around one price, which is the imbalance or for the
197000	199000	optimized entry you can just
199680	203240	put your short position at this autoblock and
205160	207880	Yeah, boom that is it. So
209120	213760	I'm not gonna explain a complicated stuff. I'm just gonna
214360	220120	Teach you in the most easiest way so you can understand easily. Okay, don't overcomplicate things guys
220120	226920	It's just I don't know. There's so many gurus that overcomplicate autoblock so much. All right, so
227640	229640	keep that in mind and
230440	239080	Impulsive move that creates some sort of imbalance in the premium or discounted zone. All right, and then the first candle I
240080	244920	Don't care if it's a bearish candle or a bullish candle. I
245600	254120	Just want it to be the first candle of that imbalance. Okay, so remember three candle pattern one two three
255360	262160	The low of the first candle the high of the sec a third candle. All right, so I'm gonna explain it again
262480	264480	Just in case you didn't understand
265320	269840	So this is imbalance, but if the imbalance is too big I
270760	272560	enter of the
272560	278040	Autoblock which is this candle the beginning of that autoblock put your stopwatch right above it and
279200	284200	Boom. Okay. Now. This is of course hindsight. Huh, so yeah
284920	288680	This is a autoblock now. Let me give you an example for
288680	290680	For
290960	296320	If I can find it of course, okay, I think I do find it and I think this is in a
297640	300360	That I'm all right. Yeah, so we got the
302960	309100	Example here, but this is not the perfect example, but I'm just still gonna teach it. All right, so we see we got a pull
309560	311120	push up
311120	316560	Push down and then we got another leg up. So we are gonna go first of all draw a Fibonacci tool
316560	320680	So you can see this in an impulse and move that leaves the imbalance behind all right
320840	325520	So let me draw this out right around here. Okay, so perfect voila
326400	332280	Now after the impulse and move to the upside we are going to wait for the price to fall down into the discounted zone
332280	337480	Which is below 50% of the Fibonacci tool perfect great now
338760	340760	Where is the imbalance?
341280	343280	You
344920	350200	Can see that we see imbalance around this level all right, so we got imbalance
351720	353720	But the problem with it is that
354440	358000	It is above to 50 person all right
358960	361320	But if you look
362440	364440	Just below it
364760	366920	You can see that this is on autoblock
