start	end	text
0	5920	Alright, so before we're giving you the example, I want to show you the market make a buy model as well a depiction of it
5920	11960	So similarly what you will have is you will have your POI right there. So you can see there's a POI and
12800	16040	You once price comes into your one hour
16960	21240	Sorry a daily POI you want to drop down to the one hour time frame, right?
22120	24120	once you have like a
24600	32240	Once price comes into your POI right you want to start identifying or sniping or scouting the original consolidation
32360	39320	So when was the first consolidation before price started moving towards your POI, right?
39600	44360	So if this was the consolidation, right? I will show you how to identify them. Don't worry
44360	46280	I'll show you the examples tons of examples
46280	48680	So then that would be absolutely clear
48840	53560	But you simply look for a consolidation phase one and then a consolidation phase two
54120	59080	This one is not necessary, but it is gonna as I said before it's gonna make your win rate even higher
60040	62040	price comes into your POI
62320	71000	Now remember the time from alignment from daily to one hour to five minutes. So once you get a market structure shift your
71880	76200	Bias or like your setup is gonna be like officially active
76200	79880	Okay, because you have a market structure shift if you don't have a market structure shift
79880	85000	If you are not doing anything, but you're just identifying the consolidation, right? You're identifying the market maker buy model
85000	87360	But once you get a market structure shift one
87920	94440	Simple thing you don't enter from here, right? And target try to target these levels. However
95160	99920	You don't have to hold till here because we don't know what's price gonna do, right?
99960	104240	We are just only putting the probabilities in play like we have high probability of course
104240	110080	But price can simply take out, you know, like let's say this high over here this consolidation and then reverse
110400	113400	So you have to take partials along the way
113400	119400	You have to trail your stop loss or you have to go break even at some point. It all depends on your trading style
120520	122920	So remember the mitigation blocks, right?
123440	126520	Price if price gives you an entry, right?
126520	128760	You are you can take longs
128840	132760	So if there's a fairly gap on auto block inside this mitigation block
132760	139360	Which is an old auto block a bearish auto block you take your entry from there. Let's say price breaks through this level this
139480	146720	Medication block there's fairly gap on auto block inside there you take entry from there and you go there simple as that
147120	148560	but
148560	152320	Once you get a market structure shift, right? You want to mark out your
152400	156880	This range low and this range high
156880	160360	So now once price comes into your one hour POI
160480	168040	You drop down to five minute time frame and then you start looking for consolidation on the five minute time frame around here
168040	173920	the original consolidation, right and then let's say you have another consolidation and
173920	178000	Price came into your POI, right?
178000	182440	You then look for a market structure shift on the five minute time frame once again
182440	188200	So that's let's say price comes into your one hour auto block or any POI
188200	191080	Oh my god, let me disable this error bro
191880	194880	It's making the chart so messy. So on the five minute
194880	199400	Let's say price comes into the one hour auto block or POI you get a market structure shift
199400	206080	And you have the original consolidation with a second consolidation you take your entry and I bet you it's gonna hit the take profit
207680	211560	It's really that simple. I mean, it's a little complicated
211560	215560	But I'm gonna show you the examples and then it will become very simple for you
