start	end	text
0	6400	guys, I will quickly break down the trade that was sent out in the discord. So let's go to the weekly
6400	14400	time frame first. And on the weekly, what I saw was that we took out external liquidity here.
15680	22240	And I also saw the internal liquidity down there. Now once price took out the external,
22240	28400	I just dropped down to the four hours timeframe. And from here onwards, what I was looking for,
30640	39920	was a market structure shift. And just around here, we got the shift in the market structure.
41120	47040	Now from here onwards, which you can see is that we had this autoblock here.
50800	56080	Like that price came back into our autoblock. We did get our entry here,
56640	62160	right? But as you can see, we have this consolidation phase here. So we can,
63040	68960	I looked at the market maker model here, and also the internal liquidity, it was still there.
69520	76160	And this was the only PD array that I had in my mind, because this is a clean autoblock. So,
76880	81840	and we also had these equal highs around this level. So this was a very high probability setup.
82400	87680	Now once price came back into our autoblock, I simply dropped down to 15 minutes timeframe.
88400	94000	Now price came into our autoblock. So now I looked at the economic
94000	102480	calendar. And today was the news at 8.30. So I would be taking my trades after 8.30. So
103120	108880	over here, we had a market structure shift, but considering the fact that considering the
108960	113680	Asian session trading strategy, you can see that the Asian high was still there. So this is
113680	120000	basically a liquidity point. So you cannot take a short position because price will take out the high
120000	127120	or low. So what happened price took out the high, then we have the, we had a shift in the market
127120	133360	structure around here, right? And we had this clean autoblock. Now this is when the news even
133360	139920	occurred at 8.30, we took our entry at around 8.45. And boom, look at that. The price just
140560	149280	just went down like that.
